Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: medium
Africa (UN),,2022,62.2
Africa (UN),,2030,64.9
Africa (UN),,2040,66.7
Africa (UN),,2050,68.3
Africa (UN),,2060,69.7
Africa (UN),,2070,71.1
Africa (UN),,2080,72.4
Africa (UN),,2090,73.6
Africa (UN),,2100,74.9
Asia (UN),,2022,73.2
Asia (UN),,2030,76.3
Asia (UN),,2040,78.0
Asia (UN),,2050,79.5
Asia (UN),,2060,80.8
Asia (UN),,2070,82.0
Asia (UN),,2080,83.2
Asia (UN),,2090,84.4
Asia (UN),,2100,85.5
Europe (UN),,2022,77.4
Europe (UN),,2030,80.9
Europe (UN),,2040,82.4
Europe (UN),,2050,83.8
Europe (UN),,2060,85.1
Europe (UN),,2070,86.4
Europe (UN),,2080,87.7
Europe (UN),,2090,88.9
Europe (UN),,2100,90.1
Latin America and the Caribbean (UN),,2022,73.8
Latin America and the Caribbean (UN),,2030,77.2
Latin America and the Caribbean (UN),,2040,79.0
Latin America and the Caribbean (UN),,2050,80.6
Latin America and the Caribbean (UN),,2060,82.2
Latin America and the Caribbean (UN),,2070,83.6
Latin America and the Caribbean (UN),,2080,84.9
Latin America and the Caribbean (UN),,2090,86.1
Latin America and the Caribbean (UN),,2100,87.2
Northern America (UN),,2022,78.7
Northern America (UN),,2030,81.1
Northern America (UN),,2040,82.6
Northern America (UN),,2050,84.0
Northern America (UN),,2060,85.3
Northern America (UN),,2070,86.5
Northern America (UN),,2080,87.7
Northern America (UN),,2090,88.8
Northern America (UN),,2100,90.0
Oceania (UN),,2022,79.2
Oceania (UN),,2030,80.2
Oceania (UN),,2040,81.2
Oceania (UN),,2050,82.1
Oceania (UN),,2060,83.1
Oceania (UN),,2070,84.0
Oceania (UN),,2080,85.0
Oceania (UN),,2090,86.1
Oceania (UN),,2100,87.2
World,OWID_WRL,2022,71.7
World,OWID_WRL,2030,74.6
World,OWID_WRL,2040,76.0
World,OWID_WRL,2050,77.2
World,OWID_WRL,2060,78.3
World,OWID_WRL,2070,79.3
World,OWID_WRL,2080,80.3
World,OWID_WRL,2090,81.2
World,OWID_WRL,2100,82.1
