Entity,Code,Year,socgr_civ_libs_vdem_owid,socgr_civ_libs_vdem_high_owid,socgr_civ_libs_vdem_low_owid
Argentina,ARG,1789,0.504,1.228,-0.5
Argentina,ARG,1850,0.504,1.228,-0.5
Argentina,ARG,1900,1.023,1.402,0.542
Argentina,ARG,1950,1.393,1.806,0.753
Argentina,ARG,2000,1.359,1.634,1.003
Argentina,ARG,2022,0.836,1.078,0.498
Australia,AUS,1789,-0.916,-0.418,-1.31
Australia,AUS,1850,-0.916,-0.418,-1.31
Australia,AUS,1900,-0.916,-0.418,-1.31
Australia,AUS,1950,0.416,0.932,-0.016
Australia,AUS,2000,1.648,2.004,1.221
Australia,AUS,2022,1.429,1.847,0.939
Botswana,BWA,1900,-2.807,-1.973,-3.649
Botswana,BWA,1950,-2.807,-1.973,-3.649
Botswana,BWA,2000,0.716,0.89,0.514
Botswana,BWA,2022,0.856,1.087,0.582
China,CHN,1789,-2.427,-1.666,-3.025
China,CHN,1850,-2.427,-1.666,-3.025
China,CHN,1900,-2.427,-1.666,-3.025
China,CHN,1950,-0.781,-0.246,-1.217
China,CHN,2000,-0.354,0.155,-0.774
China,CHN,2022,-1.647,-1.158,-2.082
