Entity,Code,Year,Participation time in travel (Eurostat),Continent,Population (historical estimates)
Belgium,BEL,2000,74.074074,,10264351.0
Belgium,BEL,2010,63.509106,,10877948.0
Estonia,EST,2000,60.616016,,1396881.0
Estonia,EST,2010,65.737625,,1331535.0
Europe,,2000,,,727917165.0
Europe,,2010,,,737406197.0
Finland,FIN,2000,63.885773,,5176208.0
Finland,FIN,2010,71.137726,,5363279.0
France,FRA,2000,56.832756,,58665456.0
France,FRA,2010,72.386528,,62444568.0
Germany,DEU,2000,72.186043,,81551680.0
Germany,DEU,2010,68.294647,,81325088.0
Italy,ITA,2000,64.62439,,56966400.0
Italy,ITA,2010,60.825817,,59822452.0
Poland,POL,2000,59.381443,,38504432.0
Poland,POL,2010,54.710178,,38597356.0
Spain,ESP,2000,59.581257,,40741652.0
Spain,ESP,2010,58.502201,,46572776.0
United Kingdom,GBR,2000,73.016205,,58850044.0
United Kingdom,GBR,2010,102.80544,,62760048.0
