Entity,Code,Year,Births - Sex: all - Age: all - Variant: estimates
Africa (UN),,1950,10949117.0
Africa (UN),,1960,13537719.0
Africa (UN),,1970,17086274.0
Africa (UN),,1980,21983902.0
Africa (UN),,1990,26758178.0
Africa (UN),,2000,31447740.0
Africa (UN),,2010,38920416.0
Africa (UN),,2021,45368652.0
Asia (UN),,1950,57489660.0
Asia (UN),,1960,62484684.0
Asia (UN),,1970,81470760.0
Asia (UN),,1980,78592630.0
Asia (UN),,1990,89329210.0
Asia (UN),,2000,78670590.0
Asia (UN),,2010,78542770.0
Asia (UN),,2021,67226690.0
Europe (UN),,1950,12202220.0
Europe (UN),,1960,12098378.0
Europe (UN),,1970,10568071.0
Europe (UN),,1980,10156371.0
Europe (UN),,1990,9235425.0
Europe (UN),,2000,7325763.0
Europe (UN),,2010,8227484.5
Europe (UN),,2021,6879818.0
Latin America and the Caribbean (UN),,1950,7345600.0
Latin America and the Caribbean (UN),,1960,9243503.0
Latin America and the Caribbean (UN),,1970,10503772.0
Latin America and the Caribbean (UN),,1980,11681707.0
Latin America and the Caribbean (UN),,1990,12020339.0
Latin America and the Caribbean (UN),,2000,11600070.0
Latin America and the Caribbean (UN),,2010,10857923.0
Latin America and the Caribbean (UN),,2021,9708710.0
Northern America (UN),,1950,3749583.0
Northern America (UN),,1960,4466678.0
Northern America (UN),,1970,4001621.0
Northern America (UN),,1980,3917924.0
Northern America (UN),,1990,4568125.0
Northern America (UN),,2000,4399832.0
Northern America (UN),,2010,4411162.0
Northern America (UN),,2021,4097901.0
Oceania (UN),,1950,347077.0
Oceania (UN),,1960,431476.0
Oceania (UN),,1970,486689.0
Oceania (UN),,1980,460686.0
Oceania (UN),,1990,539733.0
Oceania (UN),,2000,570026.0
Oceania (UN),,2010,673568.0
Oceania (UN),,2021,692927.0
