Entity,Code,Year,"Meat, total | 00002943 || Food available for consumption | 0645pc || kilograms per year per capita"
China,CHN,1961,3.34862
China,CHN,1970,8.326604
China,CHN,1980,13.642786
China,CHN,1990,23.950958
China,CHN,2000,44.5684
China,CHN,2010,58.054527
China,CHN,2020,61.88892
Gambia,GMB,1961,9.387948
Gambia,GMB,1970,10.719728
Gambia,GMB,1980,8.556562
Gambia,GMB,1990,7.1465416
Gambia,GMB,2000,7.4721117
Gambia,GMB,2010,6.904398
Gambia,GMB,2020,14.505625
Turkmenistan,TKM,2000,33.36493
Turkmenistan,TKM,2010,48.359562
Turkmenistan,TKM,2020,47.68653
