Entity,Code,Year,Oil electricity per capita - kWh
Cote d'Ivoire,CIV,2000,124.40724
Cote d'Ivoire,CIV,2005,150.2355
Cote d'Ivoire,CIV,2010,147.25351
Cote d'Ivoire,CIV,2015,137.30711
Cote d'Ivoire,CIV,2020,107.04245
Martinique,MTQ,2000,2427.4368
Martinique,MTQ,2005,3496.722
Martinique,MTQ,2010,3875.7417
Norway,NOR,1990,16.503063
Norway,NOR,1995,11.469661
Norway,NOR,2000,15.586021
Norway,NOR,2005,34.60439
Norway,NOR,2010,57.262676
Norway,NOR,2015,144.49873
Norway,NOR,2020,102.2336
Norway,NOR,2022,136.1715
Saudi Arabia,SAU,1985,1699.0714
Saudi Arabia,SAU,1990,2446.2651
Saudi Arabia,SAU,1995,3182.8103
Saudi Arabia,SAU,2000,3473.2732
Saudi Arabia,SAU,2005,3406.8855
Saudi Arabia,SAU,2010,4671.234
Saudi Arabia,SAU,2015,5656.822
Saudi Arabia,SAU,2020,4122.8315
Saudi Arabia,SAU,2022,3608.466
Somalia,SOM,2000,26.371716
Somalia,SOM,2005,25.794632
Somalia,SOM,2010,25.776089
Somalia,SOM,2015,23.975746
Somalia,SOM,2020,21.164639
Suriname,SUR,2000,1440.468
Suriname,SUR,2005,1355.99
Suriname,SUR,2010,878.9841
Suriname,SUR,2015,2537.0215
Suriname,SUR,2020,1548.4261
Turks and Caicos Islands,TCA,2000,3729.554
Turks and Caicos Islands,TCA,2005,4996.045
Turks and Caicos Islands,TCA,2010,6722.463
Turks and Caicos Islands,TCA,2015,6018.164
Turks and Caicos Islands,TCA,2020,5643.723
