Entity,Code,Year,"Cigarette consumption per smoker per day (IHME, GHDx (2012))"
Argentina,ARG,1980,19.299999
Argentina,ARG,1985,19.1
Argentina,ARG,1990,19.1
Argentina,ARG,1995,18.0
Argentina,ARG,2000,17.5
Argentina,ARG,2005,18.1
Argentina,ARG,2010,19.1
Argentina,ARG,2012,19.700001
Eritrea,ERI,1980,32.200001
Eritrea,ERI,1985,31.5
Eritrea,ERI,1990,31.5
Eritrea,ERI,1995,34.599998
Eritrea,ERI,2000,37.599998
Eritrea,ERI,2005,37.799999
Eritrea,ERI,2010,39.0
Eritrea,ERI,2012,38.299999
Grenada,GRD,1980,18.299999
Grenada,GRD,1985,19.200001
Grenada,GRD,1990,20.200001
Grenada,GRD,1995,22.1
Grenada,GRD,2000,25.700001
Grenada,GRD,2005,26.200001
Grenada,GRD,2010,24.5
Grenada,GRD,2012,23.6
Guatemala,GTM,1980,9.6000004
Guatemala,GTM,1985,9.5
Guatemala,GTM,1990,9.8000002
Guatemala,GTM,1995,10.3
Guatemala,GTM,2000,11.1
Guatemala,GTM,2005,12.6
Guatemala,GTM,2010,11.5
Guatemala,GTM,2012,10.5
Latvia,LVA,1980,17.9
Latvia,LVA,1985,18.4
Latvia,LVA,1990,19.1
Latvia,LVA,1995,22.200001
Latvia,LVA,2000,23.0
Latvia,LVA,2005,20.1
Latvia,LVA,2010,16.9
Latvia,LVA,2012,16.1
Sao Tome and Principe,STP,1980,14.1
Sao Tome and Principe,STP,1985,11.8
Sao Tome and Principe,STP,1990,8.3000002
Sao Tome and Principe,STP,1995,6.5999999
Sao Tome and Principe,STP,2000,5.5999999
Sao Tome and Principe,STP,2005,4.9000001
Sao Tome and Principe,STP,2010,5.8000002
Sao Tome and Principe,STP,2012,6.4000001
Taiwan,TWN,1980,30.299999
Taiwan,TWN,1985,29.5
Taiwan,TWN,1990,29.200001
Taiwan,TWN,1995,28.299999
Taiwan,TWN,2000,28.6
Taiwan,TWN,2005,31.200001
Taiwan,TWN,2010,33.0
Taiwan,TWN,2012,32.400002
