Entity,Code,Year,Expenditures on general government outsourcing (% of GDP)
Colombia,COL,2014,9.64
Colombia,COL,2015,9.69
France,FRA,2014,11.11
France,FRA,2015,11.09
Germany,DEU,2014,12.8
Germany,DEU,2015,12.92
Iceland,ISL,2014,11.49
Iceland,ISL,2015,10.91
Italy,ITA,2014,8.21
Italy,ITA,2015,8.14
Latvia,LVA,2014,7.18
Latvia,LVA,2015,7.42
Netherlands,NLD,2014,16.83
Netherlands,NLD,2015,16.58
Norway,NOR,2014,8.37
Norway,NOR,2015,8.92
OECD - Average,,2014,9.61
OECD - Average,,2015,9.55
Russia,RUS,2014,6.9
South Africa,ZAF,2014,8.63
South Korea,KOR,2014,8.17
South Korea,KOR,2015,8.14
Spain,ESP,2014,7.98
Spain,ESP,2015,7.95
United States,USA,2014,6.3
United States,USA,2015,6.15
