Entity,Code,Year,The totalpopulation not using improved sanitation facilities
Bangladesh,BGD,2000,81888760.0
Bangladesh,BGD,2005,72780160.0
Bangladesh,BGD,2010,59702170.0
Bangladesh,BGD,2015,46185904.0
Bangladesh,BGD,2020,31467698.0
Bangladesh,BGD,2022,25253136.0
China,CHN,2000,508759940.0
China,CHN,2005,403222180.0
China,CHN,2010,284614270.0
China,CHN,2015,173736240.0
China,CHN,2020,69150820.0
China,CHN,2022,29715462.0
India,IND,2000,853079040.0
India,IND,2005,737521660.0
India,IND,2010,589913500.0
India,IND,2015,417624100.0
India,IND,2020,233385900.0
India,IND,2022,157394430.0
Nigeria,NGA,2000,58129204.0
Nigeria,NGA,2005,63800444.0
Nigeria,NGA,2010,69539060.0
Nigeria,NGA,2015,74993780.0
Nigeria,NGA,2020,79484216.0
Nigeria,NGA,2022,81033416.0
Pakistan,PAK,2000,100625710.0
Pakistan,PAK,2005,94633710.0
Pakistan,PAK,2010,84654070.0
Pakistan,PAK,2015,69573770.0
Pakistan,PAK,2020,51323056.0
Pakistan,PAK,2022,43572164.0
South Africa,ZAF,2000,11805621.0
South Africa,ZAF,2005,10286181.0
South Africa,ZAF,2010,8805925.0
South Africa,ZAF,2015,7435498.5
South Africa,ZAF,2020,5811230.5
South Africa,ZAF,2022,5143443.0
