Entity,Code,Year,"Daily smoking prevalence - both (IHME, GHDx (2012))"
Grenada,GRD,1980,8.0
Grenada,GRD,1985,8.3999996
Grenada,GRD,1990,9.1999998
Grenada,GRD,1995,9.6000004
Grenada,GRD,2000,9.1000004
Grenada,GRD,2005,9.1000004
Grenada,GRD,2010,9.3000002
Grenada,GRD,2012,9.3999996
Moldova,MDA,1980,25.799999
Moldova,MDA,1985,26.1
Moldova,MDA,1990,26.200001
Moldova,MDA,1995,22.9
Moldova,MDA,2000,19.299999
Moldova,MDA,2005,19.4
Moldova,MDA,2010,19.4
Moldova,MDA,2012,20.9
Mongolia,MNG,1980,20.9
Mongolia,MNG,1985,21.4
Mongolia,MNG,1990,21.9
Mongolia,MNG,1995,21.9
Mongolia,MNG,2000,22.5
Mongolia,MNG,2005,23.200001
Mongolia,MNG,2010,24.6
Mongolia,MNG,2012,25.4
