Entity,Code,Year,Share of agriculture in GDP at current prices (Herrendorf et al. and GGDC-10 data),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2016,,,,1232111820.0,
Argentina,ARG,2016,,18875.0,,43668236.0,
Asia,,2016,,,,4502955714.0,
Brazil,BRA,2016,,13873.0,,206859584.0,
Chile,CHL,2016,,21696.0,,18083880.0,
China,CHN,2016,,12569.0,,1401889664.0,
Ethiopia,ETH,2016,,1635.0,,105293232.0,
Europe,,2016,,,,744516175.0,
Ghana,GHA,2016,,3878.0,,29554298.0,
India,IND,2016,,6125.0,,1338636288.0,
Indonesia,IDN,2016,,10911.0,,261850176.0,
Mexico,MEX,2016,,16133.0,,121519224.0,
Nigeria,NGA,2016,,5360.0,,188666928.0,
North America,,2016,,,,576008328.0,
Peru,PER,2016,,11776.0,,31132776.0,
Philippines,PHL,2016,,7410.0,,104875272.0,
South America,,2016,,,,417101806.0,
Spain,ESP,2016,,30110.0,,46473320.0,
Tanzania,TZA,2016,,2660.0,,54401804.0,
Thailand,THA,2016,,15454.0,,70607032.0,
United States,USA,2016,0.9,53015.0,,327210208.0,
Venezuela,VEN,2016,,15219.0,,30741464.0,
