Entity,Code,Year,Per capita consumption-based CO₂ emissions,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2021,0.9980523,,1393676724.0,
Asia,,2021,4.2430253,,4693332132.0,
Belarus,BLR,2021,6.4194117,19751.203,9578172.0,
Brunei,BRN,2021,21.73987,60127.023,445382.0,
Cambodia,KHM,2021,2.5277314,4354.5654,16589031.0,
Chile,CHL,2021,4.8534875,25449.13,19493184.0,
China,CHN,2021,7.2376294,17602.695,1425893504.0,
Cyprus,CYP,2021,5.4935226,41701.703,1244193.0,
Dominican Republic,DOM,2021,2.7186391,18626.078,11117873.0,
Ethiopia,ETH,2021,0.1882909,2319.0684,120283024.0,
Europe,,2021,7.7724247,,746417727.0,
France,FRA,2021,6.443828,44993.125,64531448.0,
Germany,DEU,2021,9.957127,53179.656,83408560.0,
Hong Kong,HKG,2021,12.031124,59978.15,7494580.0,
Hungary,HUN,2021,6.761141,33593.152,9709784.0,
India,IND,2021,1.7389793,6592.042,1407563904.0,
Indonesia,IDN,2021,2.2794528,11858.146,273753184.0,
Iran,IRN,2021,7.040302,15004.6875,87923432.0,
Ireland,IRL,2021,9.327258,102496.22,4986525.0,
Japan,JPN,2021,9.829765,40784.383,124612528.0,
Malaysia,MYS,2021,7.744011,26333.156,33573872.0,
Malta,MLT,2021,19.433935,44658.72,526751.0,
Mexico,MEX,2021,3.995392,19086.105,126705136.0,
Mongolia,MNG,2021,10.5226,11668.431,3347782.0,
Mozambique,MOZ,2021,0.43922287,1226.767,32077074.0,
Namibia,NAM,2021,3.628782,9137.797,2530150.0,
Nepal,NPL,2021,0.98037636,3831.9485,30034988.0,
North America,,2021,11.327762,,597123384.0,
Oceania,,2021,8.57394,,44492065.0,
Oman,OMN,2021,15.371639,34294.766,4520474.0,
Pakistan,PAK,2021,1.0637796,5232.1426,231402112.0,
Philippines,PHL,2021,1.6058121,8094.693,113880336.0,
Poland,POL,2021,8.289582,34915.523,38307724.0,
Russia,RUS,2021,9.371125,27960.102,145102752.0,
Singapore,SGP,2021,27.71478,106032.23,5941063.0,
South America,,2021,2.3941483,,434254167.0,
South Korea,KOR,2021,13.296304,44232.207,51830136.0,
Switzerland,CHE,2021,13.654305,71032.84,8691409.0,
Trinidad and Tobago,TTO,2021,13.866487,23037.143,1525671.0,
Turkey,TUR,2021,4.9772143,31466.56,84775408.0,
Ukraine,UKR,2021,4.5168967,12943.614,43531424.0,
United Arab Emirates,ARE,2021,25.750458,69733.8,9365149.0,
United Kingdom,GBR,2021,7.6306796,44978.715,67281040.0,
United States,USA,2021,16.534756,63669.71,336997632.0,
