Entity,Code,Year,HIV Incidence per 1000 population - Disaggregation: All ages estimate,"Number of new cases of hiv/aids per 100 people, in both sexes aged all ages",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,0.02558,0.00098878496,2873883.0,
Algeria,DZA,2019,0.04693,0.016144869,42705372.0,
Armenia,ARM,2019,0.18239,0.04235474,2820604.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,0.03005,0.060536894,25357168.0,
Azerbaijan,AZE,2019,0.05529,0.02965587,10232761.0,
Bangladesh,BGD,2019,0.00781,0.004029619,165516224.0,
Benin,BEN,2019,0.16517,0.24494028,12290443.0,
Canada,CAN,2019,0.04927,0.09101865,37522584.0,
Cape Verde,CPV,2019,0.41019,0.22461984,577037.0,
Comoros,COM,2019,0.00431,0.01761481,790993.0,
Congo,COG,2019,2.72125,1.2572499,5570736.0,
Cote d'Ivoire,CIV,2019,0.39614,0.5615224,26147544.0,
Cyprus,CYP,2019,0.04026,0.008706695,1228840.0,
Czechia,CZE,2019,0.01646,0.0083229656,10536876.0,
Egypt,EGY,2019,0.03491,0.0051116274,105618672.0,
Estonia,EST,2019,0.115,0.12834281,1327039.0,
Eswatini,SWZ,2019,7.15871,6.041035,1169620.0,
Ethiopia,ETH,2019,0.118933,0.26003351,114120592.0,
Europe,,2019,,,747418251.0,
Ghana,GHA,2019,0.77509,0.5536115500000001,31522294.0,
Indonesia,IDN,2019,0.10713,0.05406258,269582880.0,
Iran,IRN,2019,0.02588,0.042809295,86564208.0,
Italy,ITA,2019,0.04962,0.0638481039999999,59727936.0,
Jordan,JOR,2019,0.00385,0.0044107705,10698682.0,
Kenya,KEN,2019,0.62974703,1.3462885,50951452.0,
Mauritania,MRT,2019,0.11579,0.016504747,4383853.0,
Mexico,MEX,2019,0.15823,0.13521237,125085312.0,
Netherlands,NLD,2019,0.0176,0.030264386,17363260.0,
Niger,NER,2019,0.06797,0.07660858,23443400.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Philippines,PHL,2019,0.14813,0.4735422,110380800.0,
Poland,POL,2019,0.03127,0.018362806,38493600.0,
Qatar,QAT,2019,0.02957,0.0028863715,2807242.0,
Sao Tome and Principe,STP,2019,0.08355,0.007414723,214612.0,
Serbia,SRB,2019,0.02215,0.0106067579999999,7401056.0,
Slovakia,SVK,2019,0.01913,0.003595391,5453932.0,
South Africa,ZAF,2019,3.88385,6.5999436,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,0.0082,0.01036564,21649664.0,
Sudan,SDN,2019,0.07829,0.3357508,43232092.0,
Syria,SYR,2019,0.00218,0.0024221791,20098252.0,
Tanzania,TZA,2019,1.19211,0.9868294,59872584.0,
Vietnam,VNM,2019,0.08195,0.1564441399999999,95776712.0,
World,OWID_WRL,2019,0.20364839,0.2570974,7764951040.0,
Zambia,ZMB,2019,3.3165,2.676245,18380478.0,
Zimbabwe,ZWE,2019,1.611407,2.0990857,15354606.0,
