Entity,Code,Year,"Current number of cases of substance use disorders, in both sexes aged all ages"
England,,1990,1704973.2
England,,1995,1890513.1
England,,2000,2151971.5
England,,2005,2248462.2
England,,2010,2409204.5
England,,2015,2763905.2
England,,2019,2735910.5
Middle Income (WB),,1990,47710344.0
Middle Income (WB),,1995,54538316.0
Middle Income (WB),,2000,57381180.0
Middle Income (WB),,2005,57338224.0
Middle Income (WB),,2010,58181452.0
Middle Income (WB),,2015,60142830.0
Middle Income (WB),,2019,62105740.0
Mongolia,MNG,1990,48902.094
Mongolia,MNG,1995,59002.203
Mongolia,MNG,2000,79778.35
Mongolia,MNG,2005,103031.81
Mongolia,MNG,2010,136825.83
Mongolia,MNG,2015,146739.11
Mongolia,MNG,2019,167152.11
Ukraine,UKR,1990,1847816.8
Ukraine,UKR,1995,1979894.8
Ukraine,UKR,2000,1984901.4
Ukraine,UKR,2005,1830922.4
Ukraine,UKR,2010,1699124.4
Ukraine,UKR,2015,1774131.8
Ukraine,UKR,2019,1590781.8
