Entity,Code,Year,Electricity from solar and wind - TWh,Electricity from coal - TWh
Eswatini,SWZ,2000,0.0,0.0
Eswatini,SWZ,2005,0.0,0.0
Eswatini,SWZ,2010,0.0,0.0
Eswatini,SWZ,2015,0.0,0.0
Mauritania,MRT,2000,0.0,0.0
Mauritania,MRT,2005,0.0,0.0
Mauritania,MRT,2010,0.0,0.0
Mauritania,MRT,2015,0.13,0.0
Nigeria,NGA,2000,0.0,0.55
Nigeria,NGA,2005,0.0,0.82
Nigeria,NGA,2010,0.0,0.82
Nigeria,NGA,2015,0.03,0.69
Nigeria,NGA,2022,0.05,0.57
South and Central America (EI),,1990,0.0,15.566214
South and Central America (EI),,1995,0.007777778,18.215643
South and Central America (EI),,2000,0.25465706,25.82357
South and Central America (EI),,2005,0.55060774,30.483
South and Central America (EI),,2010,3.5113647,43.92047
South and Central America (EI),,2015,34.331966,74.69773
South and Central America (EI),,2022,173.13916,56.618626
Thailand,THA,1990,0.0,11.05285
Thailand,THA,1995,0.0,15.1651125
Thailand,THA,2000,0.0,16.98
Thailand,THA,2005,0.0,19.39
Thailand,THA,2010,0.02,28.35
Thailand,THA,2015,2.71,32.34
Thailand,THA,2022,8.02,37.79
Togo,TGO,2000,0.0,0.0
Togo,TGO,2005,0.0,0.0
Togo,TGO,2010,0.0,0.0
Togo,TGO,2015,0.0,0.0
