Entity,Code,Year,OEC ECI Ranking (Observatory of Economic Complexity (2016))
Cote d'Ivoire,CIV,1964,79
Cote d'Ivoire,CIV,1970,86
Cote d'Ivoire,CIV,1980,83
Cote d'Ivoire,CIV,1990,93
Cote d'Ivoire,CIV,2000,107
Cote d'Ivoire,CIV,2010,113
Guatemala,GTM,1964,47
Guatemala,GTM,1970,33
Guatemala,GTM,1980,44
Guatemala,GTM,1990,50
Guatemala,GTM,2000,67
Guatemala,GTM,2010,67
India,IND,1964,39
India,IND,1970,38
India,IND,1980,36
India,IND,1990,34
India,IND,2000,45
India,IND,2010,56
India,IND,2016,37
Japan,JPN,1964,5
Japan,JPN,1970,6
Japan,JPN,1980,4
Japan,JPN,1990,1
Japan,JPN,2000,1
Japan,JPN,2010,1
Japan,JPN,2016,2
Mexico,MEX,1964,35
Mexico,MEX,1970,36
Mexico,MEX,1980,29
Mexico,MEX,1990,22
Mexico,MEX,2000,22
Mexico,MEX,2010,24
Mexico,MEX,2016,25
South Korea,KOR,1964,23
South Korea,KOR,1970,25
South Korea,KOR,1980,23
South Korea,KOR,1990,18
South Korea,KOR,2000,20
South Korea,KOR,2010,8
South Korea,KOR,2016,4
Switzerland,CHE,1964,2
Switzerland,CHE,1970,2
Switzerland,CHE,1980,2
Switzerland,CHE,1990,2
Switzerland,CHE,2000,3
Switzerland,CHE,2010,2
Switzerland,CHE,2016,1
