Entity,Code,Year,Yearly burned area across shrublands and grasslands,Yearly burned area across savannas,Yearly burned area across forests,Yearly burned area across croplands
Austria,AUT,2002,64.398,42.932,42.932,1008.896
Austria,AUT,2004,193.193,0.0,0.0,4615.161
Austria,AUT,2006,0.0,42.932,0.0,214.659
Austria,AUT,2008,107.328995,0.0,0.0,3391.6072
Austria,AUT,2010,0.0,0.0,0.0,0.0
Austria,AUT,2012,0.0,0.0,42.932,21.466
Austria,AUT,2014,493.715,171.727,279.057,21.466
Austria,AUT,2016,0.0,0.0,42.932,0.0
Austria,AUT,2018,0.0,0.0,386.38498,0.0
Austria,AUT,2020,128.796,0.0,21.466,0.0
Austria,AUT,2022,42.932,0.0,42.932,0.0
