Entity,Code,Year,"Government expenditure per student, primary (% of GDP per capita)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2017,,,1263333997.0,
Africa,,2018,,,1295265310.0,
Albania,ALB,2017,34.18148,12773.269,2879361.0,
Albania,ALB,2018,,13319.495,2877019.0,
Asia,,2017,,,4547095064.0,
Asia,,2018,,,4588802751.0,
Australia,AUS,2017,,48400.246,24590336.0,
Australia,AUS,2018,,49052.816,24979228.0,
Bahrain,BHR,2017,,48929.445,1456844.0,
Bahrain,BHR,2018,,48937.66,1487346.0,
Belgium,BEL,2017,,50442.27,11384491.0,
Belgium,BEL,2018,,51113.48,11448598.0,
Bermuda,BMU,2017,,81834.95,63295.0,
Bermuda,BMU,2018,,81423.41,63591.0,
Brazil,BRA,2017,,14477.861,208504960.0,
Brazil,BRA,2018,,14619.591,210166592.0,
Brunei,BRN,2017,,60173.05,430290.0,
Brunei,BRN,2018,,59650.23,434283.0,
Burkina Faso,BFA,2017,,1978.155,19835860.0,
Burkina Faso,BFA,2018,,2051.2185,20392730.0,
Chile,CHL,2017,18.38536,24546.912,18368582.0,
Chile,CHL,2018,,25071.99,18701452.0,
Curacao,CUW,2017,,24599.938,171543.0,
Curacao,CUW,2018,,24193.613,184734.0,
Czechia,CZE,2017,,38824.887,10531315.0,
Czechia,CZE,2018,,39941.285,10534598.0,
Djibouti,DJI,2017,,4451.684,1040242.0,
Djibouti,DJI,2018,,4589.3784,1057204.0,
Ecuador,ECU,2017,,11679.431,16696947.0,
Ecuador,ECU,2018,,11608.419,17015672.0,
Europe,,2017,,,745657647.0,
Europe,,2018,,,746577709.0,
France,FRA,2017,,44577.066,64144092.0,
France,FRA,2018,,45245.96,64277812.0,
Germany,DEU,2017,,53071.457,82624368.0,
Germany,DEU,2018,,53431.395,82896696.0,
Greece,GRC,2017,,28604.861,10692230.0,
Greece,GRC,2018,,29141.174,10633275.0,
Hong Kong,HKG,2017,14.94539,59842.215,7461508.0,
Hong Kong,HKG,2018,14.82783,61055.34,7481563.0,
India,IND,2017,,6112.0664,1354195712.0,
India,IND,2018,,6436.1533,1369003264.0,
Indonesia,IDN,2017,,10941.921,264498848.0,
Indonesia,IDN,2018,,11397.432,267066848.0,
Iran,IRN,2017,11.11757,15163.292,84505080.0,
Iran,IRN,2018,,14628.946,85617560.0,
Ireland,IRL,2017,,77749.2,4771860.0,
Ireland,IRL,2018,,83340.39,4834506.0,
Italy,ITA,2017,,41581.12,60004024.0,
Italy,ITA,2018,,42045.92,59877432.0,
Japan,JPN,2017,,41444.215,126662464.0,
Japan,JPN,2018,,41739.203,126255872.0,
Kazakhstan,KAZ,2017,0.26455,24862.967,18314822.0,
Kazakhstan,KAZ,2018,0.23507,25544.346,18538100.0,
Kuwait,KWT,2017,,50007.3,4124904.0,
Kuwait,KWT,2018,,48943.008,4317190.0,
Luxembourg,LUX,2017,,114985.84,596290.0,
Luxembourg,LUX,2018,,114164.47,607920.0,
Malaysia,MYS,2017,16.13708,25935.143,31975812.0,
Malaysia,MYS,2018,,26835.81,32399270.0,
Maldives,MDV,2017,,18973.568,472449.0,
Maldives,MDV,2018,,19789.49,489773.0,
Mexico,MEX,2017,,20032.408,122839256.0,
Mexico,MEX,2018,,20278.217,124013864.0,
Moldova,MDA,2017,32.53601,11651.187,3180515.0,
Moldova,MDA,2018,32.53494,12367.764,3141839.0,
Morocco,MAR,2017,,7921.619,35528116.0,
Morocco,MAR,2018,,8072.0864,35927516.0,
Niger,NER,2017,13.30223,1155.9735,21737924.0,
Niger,NER,2018,,1193.2656,22577060.0,
North America,,2017,,,581258143.0,
North America,,2018,,,585864285.0,
Oceania,,2017,,,41817267.0,
Oceania,,2018,,,42540030.0,
Oman,OMN,2017,,34218.387,4541853.0,
Oman,OMN,2018,,34212.105,4601160.0,
Pakistan,PAK,2017,,4891.7197,216379648.0,
Pakistan,PAK,2018,,5113.434,219731488.0,
Poland,POL,2017,,29958.121,38532816.0,
Poland,POL,2018,,31739.258,38521464.0,
Romania,ROU,2017,,26948.158,19698852.0,
Romania,ROU,2018,,28741.227,19606778.0,
Saint Kitts and Nevis,KNA,2017,,29333.393,47811.0,
Saint Kitts and Nevis,KNA,2018,,29950.494,47787.0,
Serbia,SRB,2017,,16614.014,7464882.0,
Serbia,SRB,2018,,17455.945,7433825.0,
Singapore,SGP,2017,17.51811,95310.336,5764489.0,
Singapore,SGP,2018,,98336.95,5814543.0,
Slovenia,SVN,2017,,36507.555,2098396.0,
Slovenia,SVN,2018,,37995.715,2105931.0,
South Africa,ZAF,2017,17.6493,13950.453,56641208.0,
South Africa,ZAF,2018,17.94111,13990.314,57339632.0,
South America,,2017,,,420982650.0,
South America,,2018,,,424740741.0,
South Korea,KOR,2017,,40957.418,51511640.0,
South Korea,KOR,2018,,41965.89,51676900.0,
Spain,ESP,2017,,39528.926,46584168.0,
Spain,ESP,2018,,40255.254,46792044.0,
Sri Lanka,LKA,2017,11.39277,13584.193,21506816.0,
Sri Lanka,LKA,2018,7.91881,13753.055,21580712.0,
Switzerland,CHE,2017,,69103.57,8451688.0,
Switzerland,CHE,2018,,70558.56,8514431.0,
Thailand,THA,2017,,17008.04,70898208.0,
Thailand,THA,2018,,17669.045,71127808.0,
Turkey,TUR,2017,,27582.832,82089824.0,
Turkey,TUR,2018,,28157.979,82809304.0,
Uganda,UGA,2017,,2128.397,40127096.0,
Uganda,UGA,2018,,2186.9072,41515400.0,
Ukraine,UKR,2017,30.31566,11860.561,44657260.0,
Ukraine,UKR,2018,,12336.927,44446952.0,
United Kingdom,GBR,2017,,46372.387,66064808.0,
United Kingdom,GBR,2018,,46878.137,66432996.0,
United States,USA,2017,,59914.777,329791232.0,
United States,USA,2018,,61355.65,332140032.0,
Vietnam,VNM,2017,,9050.688,94033048.0,
Vietnam,VNM,2018,,9636.013,94914328.0,
