Entity,Code,Year,"Deaths that are from all causes attributed to air pollution, in both sexes aged all ages"
Azerbaijan,AZE,1990,7967.642
Azerbaijan,AZE,1995,9312.342
Azerbaijan,AZE,2000,8076.571
Azerbaijan,AZE,2005,7920.0005
Azerbaijan,AZE,2010,8249.802
Azerbaijan,AZE,2015,8698.932
Azerbaijan,AZE,2019,8642.608
Poland,POL,1990,51815.26
Poland,POL,1995,48604.305
Poland,POL,2000,39516.17
Poland,POL,2005,36157.004
Poland,POL,2010,35266.094
Poland,POL,2015,30691.492
Poland,POL,2019,31119.236
Thailand,THA,1990,36008.086
Thailand,THA,1995,39211.1
Thailand,THA,2000,38718.664
Thailand,THA,2005,37722.082
Thailand,THA,2010,38738.973
Thailand,THA,2015,36698.285
Thailand,THA,2019,40877.75
