Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,DTP3 (% of one-year-olds immunized),Population (historical estimates),Continent
Afghanistan,AFG,2021,5.565748,66.0,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,2.2335286,91.0,44177964.0,
Angola,AGO,2021,6.9421334,45.0,34503776.0,
Argentina,ARG,2021,0.69181985,76.0,45276788.0,
Asia,,2021,,,4693332132.0,
Austria,AUT,2021,0.36575946,85.0,8922086.0,
Azerbaijan,AZE,2021,1.85862,89.0,10312992.0,
Bangladesh,BGD,2021,2.727363,98.0,169356240.0,
Belize,BLZ,2021,1.1186618,83.0,400037.0,
Bosnia and Herzegovina,BIH,2021,0.56006,73.0,3270948.0,
Brazil,BRA,2021,1.4410983,68.0,214326224.0,
Burkina Faso,BFA,2021,8.260758,91.0,22100690.0,
China,CHN,2021,0.69345915,99.0,1425893504.0,
Colombia,COL,2021,1.2848155,86.0,51516560.0,
Democratic Republic of Congo,COD,2021,7.8960543,65.0,95894120.0,
Djibouti,DJI,2021,5.414123,59.0,1105562.0,
Ecuador,ECU,2021,1.2460622,72.0,17797736.0,
Egypt,EGY,2021,1.8957832,96.0,109262184.0,
Eritrea,ERI,2021,3.8091557,95.0,3620324.0,
Eswatini,SWZ,2021,5.2632627,77.0,1192273.0,
Ethiopia,ETH,2021,4.6811466,65.0,120283024.0,
Europe,,2021,0.4408454,,746417727.0,
Finland,FIN,2021,0.21700695,89.0,5535982.0,
France,FRA,2021,0.4353803,96.0,64531448.0,
Georgia,GEO,2021,0.94797814,85.0,3757984.0,
Germany,DEU,2021,0.3565119,91.0,83408560.0,
Ghana,GHA,2021,4.3974524,98.0,32833036.0,
Greece,GRC,2021,0.37140977,99.0,10445368.0,
Guinea,GIN,2021,9.872694,47.0,13531909.0,
Haiti,HTI,2021,5.8632684,51.0,11447575.0,
Honduras,HND,2021,1.6555912,77.0,10278346.0,
India,IND,2021,3.0619214,85.0,1407563904.0,
Indonesia,IDN,2021,2.2173412,67.0,273753184.0,
Iran,IRN,2021,1.2631342,98.0,87923432.0,
Iraq,IRQ,2021,2.4521646,78.0,43533592.0,
Japan,JPN,2021,0.23023768,96.0,124612528.0,
Kazakhstan,KAZ,2021,1.0274289,95.0,19196468.0,
Kenya,KEN,2021,3.7152622,91.0,53005616.0,
Kiribati,KIR,2021,4.822911,92.0,128883.0,
Laos,LAO,2021,4.2509923,75.0,7425055.0,
Lebanon,LBN,2021,0.823884,67.0,5592626.0,
Libya,LBY,2021,1.0765929,73.0,6735280.0,
Madagascar,MDG,2021,6.6003,55.0,28915652.0,
Mali,MLI,2021,9.706693,77.0,21904990.0,
Marshall Islands,MHL,2021,2.9727414,86.0,42074.0,
Mauritania,MRT,2021,4.049846,68.0,4614981.0,
Mexico,MEX,2021,1.3240743,78.0,126705136.0,
Montenegro,MNE,2021,0.22629364,83.0,627856.0,
Mozambique,MOZ,2021,6.9558425,61.0,32077074.0,
Myanmar,MMR,2021,4.181237,37.0,53798088.0,
Niger,NER,2021,11.515188,82.0,25252722.0,
Nigeria,NGA,2021,11.081927,56.0,213401328.0,
Niue,NIU,2021,2.4131455,99.0,1957.0,
North America,,2021,0.61332315,,597123384.0,
North Korea,PRK,2021,1.54,41.0,25971910.0,
Oceania,,2021,2.0269809,,44492065.0,
Oman,OMN,2021,1.013952,99.0,4520474.0,
Pakistan,PAK,2021,6.333255,83.0,231402112.0,
Paraguay,PRY,2021,1.8157492,70.0,6703802.0,
Peru,PER,2021,1.4122609,82.0,33715464.0,
Philippines,PHL,2021,2.5739532,57.0,113880336.0,
Romania,ROU,2021,0.6426879,86.0,19328558.0,
Russia,RUS,2021,0.5054897,97.0,145102752.0,
Samoa,WSM,2021,1.671849,85.0,218781.0,
San Marino,SMR,2021,0.17172202,90.0,33772.0,
Sierra Leone,SLE,2021,10.468697,92.0,8420642.0,
Somalia,SOM,2021,11.178455,42.0,17065588.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,0.28881985,98.0,51830136.0,
Sudan,SDN,2021,5.489554,84.0,45657204.0,
Syria,SYR,2021,2.2272444,48.0,21324366.0,
Tanzania,TZA,2021,4.7116404,81.0,63588332.0,
Tunisia,TUN,2021,1.6321344,97.0,12262949.0,
Ukraine,UKR,2021,0.82232255,78.0,43531424.0,
United Kingdom,GBR,2021,0.41853985,93.0,67281040.0,
United States,USA,2021,0.624298,93.0,336997632.0,
Vietnam,VNM,2021,2.060163,83.0,97468024.0,
Yemen,YEM,2021,6.190894,72.0,32981644.0,
Zambia,ZMB,2021,5.769183,91.0,19473132.0,
