Entity,Code,Year,17.13.1 - Annual broad money growth (%) - FM_LBL_BMNY_ZG
China,CHN,1980,25.85
China,CHN,1990,28.87
China,CHN,2000,12.32
China,CHN,2010,18.95
China,CHN,2020,10.01
India,IND,1961,3.21
India,IND,1970,12.03
India,IND,1980,15.9
India,IND,1990,15.07
India,IND,2000,15.17
India,IND,2010,17.8
India,IND,2020,12.48
United Kingdom,GBR,1961,2.73
United Kingdom,GBR,1970,9.43
United Kingdom,GBR,1980,18.47
United Kingdom,GBR,1990,10.52
United Kingdom,GBR,2000,11.06
United Kingdom,GBR,2010,3.99
United Kingdom,GBR,2020,9.71
United States,USA,1961,8.19
United States,USA,1970,11.19
United States,USA,1980,10.68
United States,USA,1990,2.68
United States,USA,2000,8.11
United States,USA,2010,-2.75
United States,USA,2020,17.2
