Entity,Code,Year,"Average price on emissions covered by an ETS, weighted by the share of the country's CO₂ emissions"
Albania,ALB,1989,0.0
Albania,ALB,1995,0.0
Albania,ALB,2000,0.0
Albania,ALB,2005,0.0
Albania,ALB,2010,0.0
Albania,ALB,2015,0.0
Albania,ALB,2021,0.0
Cuba,CUB,1989,0.0
Cuba,CUB,1995,0.0
Cuba,CUB,2000,0.0
Cuba,CUB,2005,0.0
Cuba,CUB,2010,0.0
Cuba,CUB,2015,0.0
Cuba,CUB,2021,0.0
Malta,MLT,1989,0.0
Malta,MLT,1995,0.0
Malta,MLT,2000,0.0
Malta,MLT,2005,26.128983
Malta,MLT,2010,14.660455
Malta,MLT,2015,5.0260696
Malta,MLT,2021,27.895527
