Entity,Code,Year,Fossil fuels per capita (kWh),"GDP per capita, PPP (constant 2017 international $)",Continent
Africa,,2021,3.6255051,,
Algeria,DZA,2021,15.873962,11039.806,
Argentina,ARG,2021,18.364658,21527.195,
Asia,,2021,16.303895,,
Australia,AUS,2021,53.517137000000005,49774.34,
Austria,AUT,2021,28.91621,54121.145,
Azerbaijan,AZE,2021,18.583152,14431.661,
Bangladesh,BGD,2021,2.8113948,5911.013,
Belarus,BLR,2021,30.101766,19751.203,
Brazil,BRA,2021,9.005032,14592.353,
Canada,CAN,2021,64.22295700000001,47892.945,
Croatia,HRV,2021,17.01349,31635.824,
Czechia,CZE,2021,33.724055,40740.992,
Denmark,DNK,2021,19.111107,57962.652,
Ecuador,ECU,2021,8.065236,10668.758,
Europe,,2021,30.266775000000003,,
France,FRA,2021,20.212729,44993.125,
High-income countries,,2021,44.789215,50122.207,
Iran,IRN,2021,37.628953,15004.6875,
Ireland,IRL,2021,29.368947,102496.22,
Kazakhstan,KAZ,2021,40.726703,26110.53,
Luxembourg,LUX,2021,60.81002,115683.49,
Morocco,MAR,2021,6.690095,8058.397,
North America,,2021,43.781266,,
Norway,NOR,2021,29.178896,65662.17,
Oceania,,2021,34.347555,,
Oman,OMN,2021,86.60697,34294.766,
Qatar,QAT,2021,199.25194,92862.35,
Russia,RUS,2021,52.431277,27960.102,
Saudi Arabia,SAU,2021,83.04105,44339.312,
Singapore,SGP,2021,152.75894,106032.23,
Slovakia,SVK,2021,24.794664,31866.025,
South America,,2021,10.261742,,
Switzerland,CHE,2021,16.160662000000002,71032.84,
Trinidad and Tobago,TTO,2021,111.04187,23037.143,
United Arab Emirates,ARE,2021,135.25353,69733.8,
United States,USA,2021,62.784797,63669.71,
Uzbekistan,UZB,2021,16.164359,7734.8325,
