Entity,Code,Year,personalism_vdem_owid,personalism_vdem_high_owid,personalism_vdem_low_owid
Argentina,ARG,1789,0.633,0.768,0.468
Argentina,ARG,1850,0.755,0.876,0.588
Argentina,ARG,1900,0.279,0.402,0.182
Argentina,ARG,1950,0.568,0.695,0.428
Argentina,ARG,2000,0.229,0.336,0.151
Argentina,ARG,2022,0.243,0.353,0.154
Australia,AUS,1789,0.494,0.683,0.339
Australia,AUS,1850,0.193,0.314,0.112
Australia,AUS,1900,0.041,0.088,0.016
Australia,AUS,1950,0.015,0.036,0.007
Australia,AUS,2000,0.009,0.019,0.003
Australia,AUS,2022,0.01,0.026,0.004
Botswana,BWA,1900,0.38,0.514,0.257
Botswana,BWA,1950,0.38,0.514,0.257
Botswana,BWA,2000,0.11,0.186,0.062
Botswana,BWA,2022,0.167,0.252,0.095
China,CHN,1789,0.964,0.986,0.922
China,CHN,1850,0.964,0.986,0.922
China,CHN,1900,0.918,0.96,0.857
China,CHN,1950,0.882,0.933,0.795
China,CHN,2000,0.784,0.867,0.677
China,CHN,2022,0.924,0.962,0.868
