Entity,Code,Year,Number of reported natural disasters
Drought,,1970,2
Drought,,1972,8
Drought,,1974,4
Drought,,1976,15
Drought,,1978,10
Drought,,1980,75
Drought,,1982,8
Drought,,1984,7
Drought,,1986,4
Drought,,1988,22
Drought,,1990,45
Drought,,1992,18
Drought,,1994,16
Drought,,1996,13
Drought,,1998,27
Drought,,2000,37
Drought,,2002,28
Drought,,2004,15
Drought,,2006,9
Drought,,2008,30
Drought,,2010,30
Drought,,2012,22
Drought,,2014,34
Drought,,2016,22
Drought,,2018,35
Drought,,2020,23
Drought,,2023,3
Dry mass movement,,1980,1
Dry mass movement,,1982,1
Dry mass movement,,1988,3
Dry mass movement,,1990,2
Dry mass movement,,1992,4
Dry mass movement,,2000,1
Dry mass movement,,2002,1
Dry mass movement,,2004,1
Dry mass movement,,2006,1
Dry mass movement,,2008,3
Dry mass movement,,2012,1
Dry mass movement,,2018,1
Earthquake,,1970,12
Earthquake,,1972,7
Earthquake,,1974,6
Earthquake,,1976,21
Earthquake,,1978,9
Earthquake,,1980,17
Earthquake,,1982,14
Earthquake,,1984,13
Earthquake,,1986,21
Earthquake,,1988,15
Earthquake,,1990,41
Earthquake,,1992,25
Earthquake,,1994,25
Earthquake,,1996,13
Earthquake,,1998,30
Earthquake,,2000,30
Earthquake,,2002,37
Earthquake,,2004,42
Earthquake,,2006,24
Earthquake,,2008,23
Earthquake,,2010,24
Earthquake,,2012,27
Earthquake,,2014,26
Earthquake,,2016,30
Earthquake,,2018,20
Earthquake,,2020,16
Earthquake,,2023,22
Extreme temperature,,1972,2
Extreme temperature,,1978,1
Extreme temperature,,1980,3
Extreme temperature,,1982,3
Extreme temperature,,1984,1
Extreme temperature,,1986,2
Extreme temperature,,1988,6
Extreme temperature,,1990,13
Extreme temperature,,1992,8
Extreme temperature,,1994,9
Extreme temperature,,1996,5
Extreme temperature,,1998,12
Extreme temperature,,2000,30
Extreme temperature,,2002,17
Extreme temperature,,2004,16
Extreme temperature,,2006,14
Extreme temperature,,2008,18
Extreme temperature,,2010,31
Extreme temperature,,2012,55
Extreme temperature,,2014,19
Extreme temperature,,2016,13
Extreme temperature,,2018,29
Extreme temperature,,2020,5
Extreme temperature,,2023,8
Extreme weather,,1970,24
Extreme weather,,1972,26
Extreme weather,,1974,28
Extreme weather,,1976,30
Extreme weather,,1978,38
Extreme weather,,1980,36
Extreme weather,,1982,51
Extreme weather,,1984,53
Extreme weather,,1986,53
Extreme weather,,1988,60
Extreme weather,,1990,135
Extreme weather,,1992,76
Extreme weather,,1994,80
Extreme weather,,1996,76
Extreme weather,,1998,88
Extreme weather,,2000,102
Extreme weather,,2002,124
Extreme weather,,2004,124
Extreme weather,,2006,76
Extreme weather,,2008,112
Extreme weather,,2010,97
Extreme weather,,2012,91
Extreme weather,,2014,99
Extreme weather,,2016,87
Extreme weather,,2018,96
Extreme weather,,2020,128
Extreme weather,,2023,72
Flood,,1970,31
Flood,,1972,14
Flood,,1974,17
Flood,,1976,16
Flood,,1978,47
Flood,,1980,39
Flood,,1982,48
Flood,,1984,46
Flood,,1986,49
Flood,,1988,75
Flood,,1990,61
Flood,,1992,58
Flood,,1994,88
Flood,,1996,93
Flood,,1998,95
Flood,,2000,157
Flood,,2002,172
Flood,,2004,128
Flood,,2006,228
Flood,,2008,173
Flood,,2010,188
Flood,,2012,137
Flood,,2014,141
Flood,,2016,161
Flood,,2018,128
Flood,,2020,202
Flood,,2023,102
Landslide,,1970,6
Landslide,,1972,5
Landslide,,1974,10
Landslide,,1976,6
Landslide,,1978,2
Landslide,,1980,4
Landslide,,1982,12
Landslide,,1984,6
Landslide,,1986,9
Landslide,,1988,15
Landslide,,1990,5
Landslide,,1992,8
Landslide,,1994,11
Landslide,,1996,24
Landslide,,1998,22
Landslide,,2000,28
Landslide,,2002,20
Landslide,,2004,15
Landslide,,2006,20
Landslide,,2008,12
Landslide,,2010,32
Landslide,,2012,13
Landslide,,2014,15
Landslide,,2016,13
Landslide,,2018,13
Landslide,,2020,19
Landslide,,2023,18
Volcanic activity,,1976,5
Volcanic activity,,1978,2
Volcanic activity,,1980,2
Volcanic activity,,1982,3
Volcanic activity,,1984,7
Volcanic activity,,1986,2
Volcanic activity,,1988,4
Volcanic activity,,1990,2
Volcanic activity,,1992,5
Volcanic activity,,1994,6
Volcanic activity,,1996,5
Volcanic activity,,1998,4
Volcanic activity,,2000,5
Volcanic activity,,2002,7
Volcanic activity,,2004,5
Volcanic activity,,2006,12
Volcanic activity,,2008,8
Volcanic activity,,2010,6
Volcanic activity,,2012,1
Volcanic activity,,2014,7
Volcanic activity,,2018,9
Volcanic activity,,2020,4
Volcanic activity,,2023,2
Wildfire,,1970,1
Wildfire,,1976,1
Wildfire,,1978,1
Wildfire,,1980,1
Wildfire,,1982,2
Wildfire,,1984,7
Wildfire,,1986,5
Wildfire,,1990,4
Wildfire,,1992,8
Wildfire,,1994,13
Wildfire,,1996,4
Wildfire,,1998,18
Wildfire,,2000,30
Wildfire,,2002,22
Wildfire,,2004,8
Wildfire,,2006,9
Wildfire,,2008,5
Wildfire,,2010,7
Wildfire,,2012,6
Wildfire,,2014,4
Wildfire,,2016,10
Wildfire,,2018,10
Wildfire,,2020,9
Wildfire,,2023,12
