Entity,Code,Year,Domestic trips (tourists) per 1000 people
Argentina,ARG,2006,524.5098
Argentina,ARG,2012,1262.6702
Argentina,ARG,2014,1173.8727
Argentina,ARG,2016,993.83453
Argentina,ARG,2018,1024.4161
Argentina,ARG,2020,432.2317
Argentina,ARG,2021,668.44403
Armenia,ARM,2008,149.8278
Armenia,ARM,2010,191.7662
Armenia,ARM,2012,176.70706
Armenia,ARM,2014,297.58435
Armenia,ARM,2016,341.95895
Armenia,ARM,2018,384.97293
Armenia,ARM,2020,372.46802
Armenia,ARM,2021,571.844
Sweden,SWE,2010,4761.386
Sweden,SWE,2012,4651.431
Sweden,SWE,2018,3511.6067
Sweden,SWE,2020,4805.782
Sweden,SWE,2021,495.3619
