Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: Age-standardized (Rate)
Canada,CAN,1990,2.53
Canada,CAN,1995,4.63
Canada,CAN,2000,1.52
Canada,CAN,2005,1.27
Canada,CAN,2010,0.77
Canada,CAN,2015,0.63
Canada,CAN,2019,0.58
Cyprus,CYP,1990,0.07
Cyprus,CYP,1995,0.14
Cyprus,CYP,2000,0.2
Cyprus,CYP,2005,0.24
Cyprus,CYP,2010,0.27
Cyprus,CYP,2015,0.3
Cyprus,CYP,2019,0.27
Niue,NIU,1990,0.29
Niue,NIU,1995,0.71
Niue,NIU,2000,1.38
Niue,NIU,2005,2.5
Niue,NIU,2010,3.94
Niue,NIU,2015,6.07
Niue,NIU,2019,8.58
Qatar,QAT,1990,0.42
Qatar,QAT,1995,0.67
Qatar,QAT,2000,0.45
Qatar,QAT,2005,0.24
Qatar,QAT,2010,0.24
Qatar,QAT,2015,0.18
Qatar,QAT,2019,0.14
South Korea,KOR,1990,0.13
South Korea,KOR,1995,0.06
South Korea,KOR,2000,0.09
South Korea,KOR,2005,0.17
South Korea,KOR,2010,0.24
South Korea,KOR,2015,0.18
South Korea,KOR,2019,0.18
