Entity,Code,Year,1.5.2 - Direct economic loss attributed to disasters (current United States dollars) - VC_DSR_GDPLS
Eswatini,SWZ,2005,3641214.5
Eswatini,SWZ,2006,4493370.5
Eswatini,SWZ,2008,10818492.0
Eswatini,SWZ,2010,3138427.0
Eswatini,SWZ,2012,5252301.0
Eswatini,SWZ,2014,2964171.8
Eswatini,SWZ,2016,33853410.0
Eswatini,SWZ,2018,965221.5
Eswatini,SWZ,2020,4081971.5
Eswatini,SWZ,2021,78762420.0
Grenada,GRD,2005,375920130.0
Grenada,GRD,2008,0.0
Grenada,GRD,2010,0.0
Grenada,GRD,2012,0.0
Grenada,GRD,2014,0.0
Malaysia,MYS,2005,46626110.0
Malaysia,MYS,2006,29015288.0
Malaysia,MYS,2008,31233738.0
Malaysia,MYS,2010,33046216.0
Malaysia,MYS,2012,99056184.0
Malaysia,MYS,2014,174910900.0
Malaysia,MYS,2016,92494760.0
Malaysia,MYS,2018,4522451.5
Malaysia,MYS,2020,113080376.0
Malaysia,MYS,2021,780942200.0
