Entity,Code,Year,Per capita aviation CO2 - adjusted
Australia,AUS,2018,878.8149936896662
Canada,CAN,2018,531.0497413549689
China,CHN,2018,95.8467978999216
Finland,FIN,2018,999.9149654834058
Germany,DEU,2018,711.6775360371331
Iceland,ISL,2018,1070.4451761022815
India,IND,2018,17.55948723072895
New Zealand,NZL,2018,701.9059446600152
Norway,NOR,2018,634.1643866194541
Singapore,SGP,2018,1173.3871056998396
Spain,ESP,2018,138.9655797523286
Switzerland,CHE,2018,761.0614868336402
United Arab Emirates,ARE,2018,1949.606596675109
United Kingdom,GBR,2018,840.5498989233026
United States,USA,2018,583.5432092368399
World,OWID_WRL,2018,102.76534609843664
