Entity,Code,Year,Annual CO₂ emissions including land-use change
Brazil,BRA,1920,411200260.0
Brazil,BRA,1940,325523620.0
Brazil,BRA,1960,1114192400.0
Brazil,BRA,1980,1651851300.0
Brazil,BRA,2000,2299381200.0
Brazil,BRA,2022,1596468700.0
China,CHN,1920,345548320.0
China,CHN,1940,265450420.0
China,CHN,1960,1328417800.0
China,CHN,1980,2148362500.0
China,CHN,2000,4320913000.0
China,CHN,2022,12378281000.0
European Union (27),,1850,282536800.0
European Union (27),,1860,393007700.0
European Union (27),,1880,596150500.0
European Union (27),,1900,1020446140.0
European Union (27),,1920,1091922200.0
European Union (27),,1940,1482446000.0
European Union (27),,1960,2057332200.0
European Union (27),,1980,3909292000.0
European Union (27),,2000,3404540700.0
European Union (27),,2022,2640237000.0
India,IND,1860,122261704.0
India,IND,1880,114778280.0
India,IND,1900,121520824.0
India,IND,1920,299575460.0
India,IND,1940,560841500.0
India,IND,1960,591906100.0
India,IND,1980,484325100.0
India,IND,2000,1168695300.0
India,IND,2022,2864052200.0
United Kingdom,GBR,1850,130886760.0
United Kingdom,GBR,1860,169343380.0
United Kingdom,GBR,1880,334626700.0
United Kingdom,GBR,1900,456900960.0
United Kingdom,GBR,1920,488286430.0
United Kingdom,GBR,1940,490678750.0
United Kingdom,GBR,1960,605802560.0
United Kingdom,GBR,1980,581604030.0
United Kingdom,GBR,2000,569675260.0
United Kingdom,GBR,2022,334584960.0
United States,USA,1850,826429800.0
United States,USA,1860,1015116200.0
United States,USA,1880,1745824400.0
United States,USA,1900,2190773200.0
United States,USA,1920,2954055200.0
United States,USA,1940,2481091800.0
United States,USA,1960,3087808300.0
United States,USA,1980,5074268000.0
United States,USA,2000,6147761000.0
United States,USA,2022,5199053000.0
