Entity,Code,Year,Children (0-14) living with HIV
Rwanda,RWA,1990,9700
Rwanda,RWA,1995,16000
Rwanda,RWA,2000,29000
Rwanda,RWA,2005,31000
Rwanda,RWA,2010,26000
Rwanda,RWA,2015,18000
Rwanda,RWA,2021,9900
Sierra Leone,SLE,1990,1800
Sierra Leone,SLE,1995,4600
Sierra Leone,SLE,2000,8400
Sierra Leone,SLE,2005,13000
Sierra Leone,SLE,2010,14000
Sierra Leone,SLE,2015,13000
Sierra Leone,SLE,2021,11000
Ukraine,UKR,1990,100
Ukraine,UKR,1995,710
Ukraine,UKR,2000,2700
Ukraine,UKR,2005,3700
Ukraine,UKR,2010,4300
Ukraine,UKR,2015,3700
Ukraine,UKR,2021,2700
