Entity,Code,Year,Cattle | 00000866 || Stocks | 005111 || animals
Brazil,BRA,1961,56041312
Brazil,BRA,1970,75446704
Brazil,BRA,1980,118971424
Brazil,BRA,1990,147102320
Brazil,BRA,2000,169875520
Brazil,BRA,2010,209541104
Brazil,BRA,2021,224602112
Canada,CAN,1961,10696000
Canada,CAN,1970,11626000
Canada,CAN,1980,12126000
Canada,CAN,1990,11220400
Canada,CAN,2000,13201300
Canada,CAN,2010,12670000
Canada,CAN,2021,11057929
India,IND,1961,175600000
India,IND,1970,177442000
India,IND,1980,186500000
India,IND,1990,202500000
India,IND,2000,191924000
India,IND,2010,194184992
India,IND,2021,193165744
New Zealand,NZL,1961,6445789
New Zealand,NZL,1970,8777332
New Zealand,NZL,1980,8131214
New Zealand,NZL,1990,8033976
New Zealand,NZL,2000,9015000
New Zealand,NZL,2010,9863972
New Zealand,NZL,2021,10150246
Nigeria,NGA,1961,6028000
Nigeria,NGA,1970,8887000
Nigeria,NGA,1980,12108000
Nigeria,NGA,1990,13947000
Nigeria,NGA,2000,15118300
Nigeria,NGA,2010,16577962
Nigeria,NGA,2021,21162928
