Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,Life expectancy - Sex: all - Age: at birth - Variant: medium
Brazil,BRA,1950,48.1,
Brazil,BRA,1960,52.7,
Brazil,BRA,1980,61.8,
Brazil,BRA,2000,69.7,
Brazil,BRA,2020,74.0,
Brazil,BRA,2040,,79.5
Brazil,BRA,2060,,83.0
Brazil,BRA,2080,,85.8
Brazil,BRA,2100,,88.2
India,IND,1950,41.7,
India,IND,1960,45.2,
India,IND,1980,53.6,
India,IND,2000,62.7,
India,IND,2020,70.1,
India,IND,2040,,75.9
India,IND,2060,,79.7
India,IND,2080,,83.1
India,IND,2100,,86.0
Japan,JPN,1950,59.2,
Japan,JPN,1960,67.7,
Japan,JPN,1980,76.1,
Japan,JPN,2000,81.2,
Japan,JPN,2020,84.7,
Japan,JPN,2040,,87.1
Japan,JPN,2060,,89.5
Japan,JPN,2080,,91.9
Japan,JPN,2100,,94.2
Sweden,SWE,1950,71.1,
Sweden,SWE,1960,73.0,
Sweden,SWE,1980,75.7,
Sweden,SWE,2000,79.7,
Sweden,SWE,2020,82.4,
Sweden,SWE,2040,,85.9
Sweden,SWE,2060,,88.2
Sweden,SWE,2080,,90.5
Sweden,SWE,2100,,92.8
World,OWID_WRL,1950,46.5,
World,OWID_WRL,1960,47.7,
World,OWID_WRL,1980,60.6,
World,OWID_WRL,2000,66.5,
World,OWID_WRL,2020,72.0,
World,OWID_WRL,2040,,76.0
World,OWID_WRL,2060,,78.3
World,OWID_WRL,2080,,80.3
World,OWID_WRL,2100,,82.1
