Entity,Code,Year,Population in urban agglomerations of more than 1 million (% of total population)
France,FRA,1960,21.561039
France,FRA,1970,22.06239
France,FRA,1980,22.298271
France,FRA,1990,22.56464
France,FRA,2000,22.422464
France,FRA,2010,22.49028
France,FRA,2021,22.86946
Japan,JPN,1960,40.249462
Japan,JPN,1970,52.312263
Japan,JPN,1980,55.24202
Japan,JPN,1990,58.248447
Japan,JPN,2000,59.30445
Japan,JPN,2010,62.748013
Japan,JPN,2021,64.882385
South Africa,ZAF,1960,24.323395
South Africa,ZAF,1970,23.933462
South Africa,ZAF,1980,22.95493
South Africa,ZAF,1990,22.206572
South Africa,ZAF,2000,27.455805
South Africa,ZAF,2010,32.126472
South Africa,ZAF,2021,36.5446
South Korea,KOR,1960,21.810202
South Korea,KOR,1970,31.889462
South Korea,KOR,1980,42.88555
South Korea,KOR,1990,52.28864
South Korea,KOR,2000,51.182465
South Korea,KOR,2010,50.252556
South Korea,KOR,2021,50.456097
United States,USA,1960,38.732605
United States,USA,1970,41.594337
United States,USA,1980,41.13373
United States,USA,1990,42.149963
United States,USA,2000,43.791374
United States,USA,2010,44.503128
United States,USA,2021,46.751827
