Entity,Code,Year,Cashew nuts | 00000217 || Production | 005510 || tonnes
Brazil,BRA,1961,9670.0
Brazil,BRA,1970,20309.0
Brazil,BRA,1980,75000.0
Brazil,BRA,1990,107664.0
Brazil,BRA,2000,138608.0
Brazil,BRA,2010,104342.0
Brazil,BRA,2021,111103.0
China,CHN,1961,2000.0
China,CHN,1970,3250.0
China,CHN,1980,6000.0
China,CHN,1990,1000.0
China,CHN,2000,1179.0
China,CHN,2010,569.7
China,CHN,2021,231.28
India,IND,1961,85000.0
India,IND,1970,123319.0
India,IND,1980,180266.0
India,IND,1990,285590.0
India,IND,2000,520000.0
India,IND,2010,613000.0
India,IND,2021,738000.0
Mexico,MEX,1980,316.0
Mexico,MEX,1990,168.0
Mexico,MEX,2000,1001.0
Mexico,MEX,2010,4406.0
Mexico,MEX,2021,3781.05
