Entity,Code,Year,Apples | 00000515 || Production | 005510 || tonnes
Brazil,BRA,1961,19962.0
Brazil,BRA,1970,30850.0
Brazil,BRA,1980,83038.0
Brazil,BRA,1990,543515.0
Brazil,BRA,2000,1153269.0
Brazil,BRA,2010,1279124.0
Brazil,BRA,2021,1297424.0
China,CHN,1961,167000.0
China,CHN,1970,798000.0
China,CHN,1980,2363100.0
China,CHN,1990,4319315.0
China,CHN,2000,20431230.0
China,CHN,2010,33263000.0
China,CHN,2021,45983400.0
India,IND,1961,185000.0
India,IND,1970,277000.0
India,IND,1980,658000.0
India,IND,1990,1093900.0
India,IND,2000,1050000.0
India,IND,2010,1777200.0
India,IND,2021,2276000.0
Russia,RUS,2000,1832000.0
Russia,RUS,2010,992000.0
Russia,RUS,2021,2216200.0
United States,USA,1961,2584000.0
United States,USA,1970,2901933.0
United States,USA,1980,4000000.0
United States,USA,1990,4380000.0
United States,USA,2000,4799416.0
United States,USA,2010,4210290.0
United States,USA,2021,4467206.0
