Entity,Code,Year,New bacteriologically confirmed pulmonary tuberculosis cases tested for rifampicin resistance,New bacteriologically confirmed pulmonary tuberculosis cases with rifampicin resistance
Afghanistan,AFG,2017,2889.0,
Afghanistan,AFG,2018,10032.0,253.0
Afghanistan,AFG,2019,5443.0,263.0
Afghanistan,AFG,2020,10255.0,280.0
Afghanistan,AFG,2021,17443.0,390.0
Afghanistan,AFG,2022,10545.0,557.0
India,IND,2017,270825.0,7976.0
India,IND,2018,364292.0,8987.0
India,IND,2019,699062.0,18945.0
India,IND,2020,557456.0,14453.0
India,IND,2021,673008.0,31847.0
India,IND,2022,757128.0,34128.0
Kenya,KEN,2017,28316.0,193.0
Kenya,KEN,2018,28284.0,186.0
Kenya,KEN,2019,33149.0,209.0
Kenya,KEN,2020,32771.0,285.0
Kenya,KEN,2021,24832.0,271.0
Kenya,KEN,2022,23871.0,138.0
South Africa,ZAF,2017,4103.0,3735.0
South Africa,ZAF,2018,116617.0,12908.0
South Africa,ZAF,2020,92650.0,2404.0
South Africa,ZAF,2021,92888.0,3665.0
South Africa,ZAF,2022,116349.0,2479.0
