Entity,Code,Year,Deaths - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: ALLAges
Africa,,2000,1153033.6
Africa,,2005,1240615.9
Africa,,2010,1363928.9
Africa,,2015,1505135.4
Africa,,2019,1616215.2
Asia,,2000,7197265.0
Asia,,2005,8049881.5
Asia,,2010,8904371.0
Asia,,2015,9771899.0
Asia,,2019,10751486.0
Europe,,2000,4100834.2
Europe,,2005,4087856.8
Europe,,2010,3797801.5
Europe,,2015,3622020.0
Europe,,2019,3399733.8
North America,,2000,1209787.4
North America,,2005,1151106.4
North America,,2010,1114788.4
North America,,2015,1208847.2
North America,,2019,1303410.9
Oceania,,2000,69537.99
Oceania,,2005,70650.58
Oceania,,2010,71016.51
Oceania,,2015,74994.05
Oceania,,2019,73312.88
South America,,2000,550858.25
South America,,2005,575501.94
South America,,2010,636006.4
South America,,2015,675989.8
South America,,2019,719667.75
