Entity,Code,Year,freeexpr_vdem_owid,freeexpr_vdem_high_owid,freeexpr_vdem_low_owid
Argentina,ARG,1789,0.252,0.357,0.169
Argentina,ARG,1850,0.261,0.366,0.168
Argentina,ARG,1900,0.805,0.868,0.726
Argentina,ARG,1950,0.268,0.361,0.188
Argentina,ARG,2000,0.956,0.978,0.928
Argentina,ARG,2022,0.907,0.945,0.859
Australia,AUS,1789,0.314,0.429,0.218
Australia,AUS,1850,0.853,0.904,0.779
Australia,AUS,1900,0.853,0.904,0.779
Australia,AUS,1950,0.893,0.933,0.838
Australia,AUS,2000,0.969,0.982,0.945
Australia,AUS,2022,0.937,0.964,0.9
Botswana,BWA,1900,0.162,0.229,0.102
Botswana,BWA,1950,0.16,0.228,0.102
Botswana,BWA,2000,0.81,0.873,0.745
Botswana,BWA,2022,0.804,0.87,0.737
China,CHN,1789,0.164,0.254,0.112
China,CHN,1850,0.164,0.254,0.112
China,CHN,1900,0.323,0.413,0.245
China,CHN,1950,0.052,0.084,0.031
China,CHN,2000,0.234,0.308,0.162
China,CHN,2022,0.056,0.091,0.032
