Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: Age-standardized (Rate)
Canada,CAN,1990,1.13
Canada,CAN,1995,1.63
Canada,CAN,2000,2.0
Canada,CAN,2005,2.27
Canada,CAN,2010,2.75
Canada,CAN,2015,3.85
Canada,CAN,2019,4.67
Kazakhstan,KAZ,1990,0.88
Kazakhstan,KAZ,1995,1.62
Kazakhstan,KAZ,2000,2.52
Kazakhstan,KAZ,2005,2.81
Kazakhstan,KAZ,2010,2.38
Kazakhstan,KAZ,2015,2.31
Kazakhstan,KAZ,2019,2.79
Kyrgyzstan,KGZ,1990,0.77
Kyrgyzstan,KGZ,1995,1.25
Kyrgyzstan,KGZ,2000,1.31
Kyrgyzstan,KGZ,2005,1.38
Kyrgyzstan,KGZ,2010,1.28
Kyrgyzstan,KGZ,2015,0.74
Kyrgyzstan,KGZ,2019,0.7
Russia,RUS,1990,2.29
Russia,RUS,1995,3.91
Russia,RUS,2000,5.09
Russia,RUS,2005,6.06
Russia,RUS,2010,5.01
Russia,RUS,2015,3.6
Russia,RUS,2019,2.88
Rwanda,RWA,1990,0.16
Rwanda,RWA,1995,0.17
Rwanda,RWA,2000,0.15
Rwanda,RWA,2005,0.15
Rwanda,RWA,2010,0.14
Rwanda,RWA,2015,0.15
Rwanda,RWA,2019,0.16
United States,USA,1990,1.53
United States,USA,1995,2.13
United States,USA,2000,3.35
United States,USA,2005,5.62
United States,USA,2010,7.01
United States,USA,2015,10.65
United States,USA,2019,13.69
