Entity,Code,Year,Pesticides (total) | 00001357 || Agricultural Use | 005157 || tonnes
Argentina,ARG,1990,26156.0
Argentina,ARG,1995,37842.0
Argentina,ARG,2000,84189.08
Argentina,ARG,2005,138669.28
Argentina,ARG,2010,235739.1
Argentina,ARG,2015,203807.0
Argentina,ARG,2020,241294.19
Brazil,BRA,1990,49695.0
Brazil,BRA,1995,92967.22
Brazil,BRA,2000,140423.0
Brazil,BRA,2005,232232.0
Brazil,BRA,2010,342580.0
Brazil,BRA,2015,395646.0
Brazil,BRA,2020,377176.0
Canada,CAN,1990,29568.0
Canada,CAN,1995,32234.97
Canada,CAN,2000,39718.43
Canada,CAN,2005,36382.29
Canada,CAN,2010,61050.0
Canada,CAN,2015,75318.3
Canada,CAN,2020,78893.0
China,CHN,1990,144459.52
China,CHN,1995,205184.23
China,CHN,2000,241520.9
China,CHN,2005,275573.56
China,CHN,2010,331881.25
China,CHN,2015,336562.56
China,CHN,2020,262700.0
India,IND,1990,75000.0
India,IND,1995,61257.0
India,IND,2000,44957.52
India,IND,2005,35342.0
India,IND,2010,40093.69
India,IND,2015,56720.12
India,IND,2020,61701.9
Mexico,MEX,1990,26624.98
Mexico,MEX,1995,26624.98
Mexico,MEX,2000,26624.98
Mexico,MEX,2005,39171.9
Mexico,MEX,2010,52305.13
Mexico,MEX,2015,48292.99
Mexico,MEX,2020,41681.11
South Africa,ZAF,1990,16582.0
South Africa,ZAF,1995,18025.0
South Africa,ZAF,2000,26857.0
South Africa,ZAF,2005,26857.0
South Africa,ZAF,2010,26857.0
South Africa,ZAF,2015,26857.0
South Africa,ZAF,2020,26857.0
United States,USA,1990,400975.94
United States,USA,1995,423201.53
United States,USA,2000,430005.22
United States,USA,2005,388275.16
United States,USA,2010,374818.2
United States,USA,2015,407779.2
United States,USA,2020,407779.2
