Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: Age-standardized (Rate)
Canada,CAN,1990,19593.93
Canada,CAN,1995,18860.08
Canada,CAN,2000,17862.21
Canada,CAN,2005,17049.11
Canada,CAN,2010,16379.09
Canada,CAN,2015,16054.63
Canada,CAN,2019,16352.54
China,CHN,1990,26899.54
China,CHN,1995,25225.82
China,CHN,2000,23974.24
China,CHN,2005,22531.4
China,CHN,2010,20410.24
China,CHN,2015,18688.31
China,CHN,2019,18058.96
Denmark,DNK,1990,22794.87
Denmark,DNK,1995,22338.37
Denmark,DNK,2000,20911.3
Denmark,DNK,2005,19641.38
Denmark,DNK,2010,18530.94
Denmark,DNK,2015,17234.56
Denmark,DNK,2019,17165.59
France,FRA,1990,19554.22
France,FRA,1995,18467.2
France,FRA,2000,17944.31
France,FRA,2005,17034.77
France,FRA,2010,16332.35
France,FRA,2015,15706.57
France,FRA,2019,15461.17
Malawi,MWI,1990,26110.73
Malawi,MWI,1995,26047.46
Malawi,MWI,2000,26124.75
Malawi,MWI,2005,24813.51
Malawi,MWI,2010,23695.54
Malawi,MWI,2015,22639.25
Malawi,MWI,2019,22082.07
Niger,NER,1990,25689.8
Niger,NER,1995,24743.12
Niger,NER,2000,23816.29
Niger,NER,2005,23225.2
Niger,NER,2010,21732.5
Niger,NER,2015,22226.78
Niger,NER,2019,22014.67
