Entity,Code,Year,Year-on-year change in female height (%)
Bolivia,BOL,1897,0.11531
Bolivia,BOL,1920,0.1168
Bolivia,BOL,1940,0.08601
Bolivia,BOL,1960,0.0315
Bolivia,BOL,1980,0.04004
Bolivia,BOL,1996,0.05222
Brunei,BRN,1897,0.0724
Brunei,BRN,1920,0.07471
Brunei,BRN,1940,0.09594
Brunei,BRN,1960,0.02354
Brunei,BRN,1980,0.01536
Brunei,BRN,1996,0.03128
Comoros,COM,1897,0.06806
Comoros,COM,1920,0.06624
Comoros,COM,1940,0.06623
Comoros,COM,1960,0.02433
Comoros,COM,1980,-0.02916
Comoros,COM,1996,-0.01621
Jamaica,JAM,1897,0.13195
Jamaica,JAM,1920,0.12983
Jamaica,JAM,1940,0.09548
Jamaica,JAM,1960,0.04677
Jamaica,JAM,1980,-0.00569
Jamaica,JAM,1996,-0.01429
Luxembourg,LUX,1897,0.09652
Luxembourg,LUX,1920,0.11
Luxembourg,LUX,1940,0.09094
Luxembourg,LUX,1960,0.08606
Luxembourg,LUX,1980,-0.02672
Luxembourg,LUX,1996,-0.02896
Paraguay,PRY,1897,0.1006
Paraguay,PRY,1920,0.10639
Paraguay,PRY,1940,0.08309
Paraguay,PRY,1960,0.05786
Paraguay,PRY,1980,0.02669
Paraguay,PRY,1996,0.03109
Saint Vincent and the Grenadines,VCT,1897,0.12753
Saint Vincent and the Grenadines,VCT,1920,0.1255
Saint Vincent and the Grenadines,VCT,1940,0.08707
Saint Vincent and the Grenadines,VCT,1960,0.03968
Saint Vincent and the Grenadines,VCT,1980,-0.00198
Saint Vincent and the Grenadines,VCT,1996,-0.01033
