Entity,Code,Year,Land use: Agriculture
Afghanistan,AFG,1600,11459200.0
Afghanistan,AFG,1700,11308615.0
Afghanistan,AFG,1750,12573080.0
Afghanistan,AFG,1800,13929679.0
Afghanistan,AFG,1850,16566294.0
Afghanistan,AFG,1900,22826316.0
Afghanistan,AFG,1950,32622424.0
Afghanistan,AFG,2000,37752996.0
Afghanistan,AFG,2023,37910000.0
Cuba,CUB,1600,56238.08
Cuba,CUB,1700,68899.945
Cuba,CUB,1750,136581.98
Cuba,CUB,1800,271205.47
Cuba,CUB,1850,673849.25
Cuba,CUB,1900,873291.56
Cuba,CUB,1950,2977921.0
Cuba,CUB,2000,6553983.5
Cuba,CUB,2023,6168181.0
Martinique,MTQ,1600,7227.1934
Martinique,MTQ,1700,3282.991
Martinique,MTQ,1750,6677.147
Martinique,MTQ,1800,13396.555
Martinique,MTQ,1850,16260.699
Martinique,MTQ,1900,19360.803
Martinique,MTQ,1950,27504.781
Martinique,MTQ,2000,33000.0
Martinique,MTQ,2023,20630.0
Nigeria,NGA,1600,16506633.0
Nigeria,NGA,1700,21222814.0
Nigeria,NGA,1750,22881684.0
Nigeria,NGA,1800,24054940.0
Nigeria,NGA,1850,25793416.0
Nigeria,NGA,1900,28974904.0
Nigeria,NGA,1950,44638350.0
Nigeria,NGA,2000,71299990.0
Nigeria,NGA,2023,70799980.0
Norway,NOR,1600,287085.44
Norway,NOR,1700,321581.0
Norway,NOR,1750,367339.5
Norway,NOR,1800,415520.38
Norway,NOR,1850,635071.0
Norway,NOR,1900,823417.9
Norway,NOR,1950,954432.0
Norway,NOR,2000,1042000.0
Norway,NOR,2023,980018.25
Peru,PER,1600,3364822.8
Peru,PER,1700,3683767.2
Peru,PER,1750,3376040.0
Peru,PER,1800,3109037.0
Peru,PER,1850,4394896.0
Peru,PER,1900,9511374.0
Peru,PER,1950,13255704.0
Peru,PER,2000,21434536.0
Peru,PER,2023,20420772.0
Puerto Rico,PRI,1600,2803.4111
Puerto Rico,PRI,1700,4042.9287
Puerto Rico,PRI,1750,14132.32
Puerto Rico,PRI,1800,49337.57
Puerto Rico,PRI,1850,138090.03
Puerto Rico,PRI,1900,284149.8
Puerto Rico,PRI,1950,590362.6
Puerto Rico,PRI,2000,247198.9
Puerto Rico,PRI,2023,193681.94
Singapore,SGP,1600,557.89215
Singapore,SGP,1700,750.8133
Singapore,SGP,1750,2537.9487
Singapore,SGP,1800,8413.669
Singapore,SGP,1850,26953.314
Singapore,SGP,1900,42212.605
Singapore,SGP,1950,33315.27
Singapore,SGP,2000,395.34775
Singapore,SGP,2023,0.0
Vanuatu,VUT,1600,430.00455
Vanuatu,VUT,1700,646.7353
Vanuatu,VUT,1750,836.9244
Vanuatu,VUT,1800,1083.0376
Vanuatu,VUT,1850,1862.7445
Vanuatu,VUT,1900,2253.2458
Vanuatu,VUT,1950,78612.586
Vanuatu,VUT,2000,175000.0
Vanuatu,VUT,2023,156504.0
Western Sahara,ESH,1600,2776.8877
Western Sahara,ESH,1700,5206.6646
Western Sahara,ESH,1750,16156.974
Western Sahara,ESH,1800,50137.234
Western Sahara,ESH,1850,158744.12
Western Sahara,ESH,1900,159093.67
Western Sahara,ESH,1950,2219147.8
Western Sahara,ESH,2000,4999999.5
Western Sahara,ESH,2023,5000000.0
