Entity,Code,Year,Solar photovoltaic module price,Solar photovoltaic cumulative capacity
World,OWID_WRL,1975,125.83374,0.54
World,OWID_WRL,1976,94.6755,1.08
World,OWID_WRL,1977,69.07023,2.16
World,OWID_WRL,1978,48.867588,3.51
World,OWID_WRL,1980,34.795967,7.965
World,OWID_WRL,1981,27.820028,12.88
World,OWID_WRL,1983,20.179014,29.255
World,OWID_WRL,1984,18.75022,46.705
World,OWID_WRL,1986,13.540712,89.155
World,OWID_WRL,1988,10.752592,140.6
World,OWID_WRL,1992,9.919416,309.05
World,OWID_WRL,1993,9.276397,365.9
World,OWID_WRL,1995,8.113711,489.25
World,OWID_WRL,1996,7.5854735,565.0
World,OWID_WRL,1998,6.811438,771.0
World,OWID_WRL,2000,6.174862,1103.0
World,OWID_WRL,2002,5.4632263,1738.5
World,OWID_WRL,2004,4.3484297,3050.436
World,OWID_WRL,2005,4.3948917,4546.144
World,OWID_WRL,2007,4.825884,8502.737
World,OWID_WRL,2008,4.3981614,14725.166
World,OWID_WRL,2009,2.939666,22836.248
World,OWID_WRL,2010,2.3155832,40327.344
World,OWID_WRL,2011,1.8994167,72205.45
World,OWID_WRL,2012,1.0231667,101645.445
World,OWID_WRL,2013,0.7888333,136572.14
World,OWID_WRL,2015,0.676,224069.56
World,OWID_WRL,2017,0.52425,390877.56
World,OWID_WRL,2018,0.4665,483495.16
World,OWID_WRL,2022,0.25575,1046614.3
