Entity,Code,Year,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
East Asia and Pacific (WB),,2000,24.334618
East Asia and Pacific (WB),,2005,21.003645
East Asia and Pacific (WB),,2010,18.42265
East Asia and Pacific (WB),,2015,18.336132
East Asia and Pacific (WB),,2019,19.386082
Europe and Central Asia (WB),,2000,17.434435
Europe and Central Asia (WB),,2005,16.67389
Europe and Central Asia (WB),,2010,16.00674
Europe and Central Asia (WB),,2015,16.365755
Europe and Central Asia (WB),,2019,17.449997
Latin America and Caribbean (WB),,2000,25.634573
Latin America and Caribbean (WB),,2005,22.829565
Latin America and Caribbean (WB),,2010,19.307936
Latin America and Caribbean (WB),,2015,17.34014
Latin America and Caribbean (WB),,2019,17.252317
Middle East and North Africa (WB),,2000,34.547558
Middle East and North Africa (WB),,2005,32.496284
Middle East and North Africa (WB),,2010,30.418514
Middle East and North Africa (WB),,2015,29.845259
Middle East and North Africa (WB),,2019,30.397423
North America (WB),,2000,7.948805
North America (WB),,2005,8.159676
North America (WB),,2010,9.419734
North America (WB),,2015,10.5606
North America (WB),,2019,11.657343
South Asia (WB),,2000,50.38506
South Asia (WB),,2005,50.3851
South Asia (WB),,2010,49.83656
South Asia (WB),,2015,49.163067
South Asia (WB),,2019,49.409256
Sub-Saharan Africa (WB),,2000,46.62554
Sub-Saharan Africa (WB),,2005,44.58049
Sub-Saharan Africa (WB),,2010,41.709656
Sub-Saharan Africa (WB),,2015,40.54981
Sub-Saharan Africa (WB),,2019,40.58145
World,OWID_WRL,2000,31.2
World,OWID_WRL,2005,29.9
World,OWID_WRL,2010,28.6
World,OWID_WRL,2015,28.8
World,OWID_WRL,2019,29.9
