Entity,Code,Year,Research and development expenditure (% of GDP)
Canada,CAN,1996,1.61209
Canada,CAN,2000,1.85848
Canada,CAN,2005,1.97127
Canada,CAN,2010,1.82528
Canada,CAN,2015,1.69324
Canada,CAN,2020,1.69781
China,CHN,1996,0.56324
China,CHN,2000,0.89316
China,CHN,2005,1.30792
China,CHN,2010,1.71372
China,CHN,2015,2.05701
China,CHN,2020,2.40093
France,FRA,1996,2.2228
France,FRA,2000,2.09346
France,FRA,2005,2.05151
France,FRA,2010,2.17857
France,FRA,2015,2.22702
France,FRA,2020,2.35493
Germany,DEU,1996,2.14461
Germany,DEU,2000,2.40982
Germany,DEU,2005,2.44193
Germany,DEU,2010,2.73024
Germany,DEU,2015,2.93379
Germany,DEU,2020,3.14426
India,IND,1996,0.63905
India,IND,2000,0.75699
India,IND,2005,0.82411
India,IND,2010,0.78849
India,IND,2015,0.6931
Israel,ISR,1996,2.58619
Israel,ISR,2000,3.92994
Israel,ISR,2005,4.04455
Israel,ISR,2010,3.92436
Israel,ISR,2015,4.26148
Israel,ISR,2020,5.43562
Italy,ITA,1996,0.9459
Italy,ITA,2000,1.00364
Italy,ITA,2005,1.04435
Italy,ITA,2010,1.21797
Italy,ITA,2015,1.3385
Italy,ITA,2020,1.53391
Japan,JPN,1996,2.64303
Japan,JPN,2000,2.85841
Japan,JPN,2005,3.13092
Japan,JPN,2010,3.10495
Japan,JPN,2015,3.24071
Japan,JPN,2020,3.26317
South Korea,KOR,1996,2.21616
South Korea,KOR,2000,2.12519
South Korea,KOR,2005,2.5229
South Korea,KOR,2010,3.31578
South Korea,KOR,2015,3.9782
South Korea,KOR,2020,4.8145
United Kingdom,GBR,1996,1.57333
United Kingdom,GBR,2000,1.61293
United Kingdom,GBR,2005,1.54904
United Kingdom,GBR,2010,1.63516
United Kingdom,GBR,2015,1.63424
United States,USA,1996,2.45001
United States,USA,2000,2.62879
United States,USA,2005,2.51697
United States,USA,2010,2.7354
United States,USA,2015,2.78206
United States,USA,2020,3.45018
