Entity,Code,Year,All cancers
"All races, females",,1980,55.0
"All races, females",,2013,69.1
"All races, males",,1980,43.1
"All races, males",,2013,69.2
"All races, total",,1980,49.0
"All races, total",,2013,69.2
"Black, females",,1980,45.6
"Black, females",,2013,60.3
"Black, males",,1980,33.3
"Black, males",,2013,65.9
"Black, total",,1963,27.0
"Black, total",,1980,39.0
"Black, total",,2013,63.3
"White, females",,1980,55.6
"White, females",,2013,70.1
"White, males",,1980,44.3
"White, males",,2013,70.1
"White, total",,1963,39.0
"White, total",,1980,50.0
"White, total",,2013,70.1
