Entity,Code,Year,Cereals - Excluding Beer | 00002905 || Imports | 005611 || tonnes,Cereals - Excluding Beer | 00002905 || Exports | 005911 || tonnes,Continent
Afghanistan,AFG,2020,3265000.0,9000.0,
Africa,,2020,101065000.0,7697000.0,
Albania,ALB,2020,432000.0,2000.0,
Algeria,DZA,2020,13229000.0,56000.0,
Americas (FAO),,2020,92407000.0,227733000.0,
Angola,AGO,2020,1991000.0,43000.0,
Argentina,ARG,2020,77000.0,52031000.0,
Asia,,2020,235173000.0,84934000.0,
Australia,AUS,2020,1390000.0,16504000.0,
Austria,AUT,2020,3281000.0,1966000.0,
Azerbaijan,AZE,2020,1633000.0,5000.0,
Bahrain,BHR,2020,363000.0,44000.0,
Bangladesh,BGD,2020,8321000.0,70000.0,
Barbados,BRB,2020,72000.0,8000.0,
Belarus,BLR,2020,542000.0,204000.0,
Belgium,BEL,2020,10210000.0,4376000.0,
Bolivia,BOL,2020,814000.0,60000.0,
Botswana,BWA,2020,533000.0,22000.0,
Brazil,BRA,2020,11346000.0,37335000.0,
Bulgaria,BGR,2020,318000.0,6623000.0,
Burundi,BDI,2020,170000.0,22000.0,
Cambodia,KHM,2020,251000.0,1164000.0,
Canada,CAN,2020,4366000.0,35480000.0,
Caribbean (FAO),,2020,6754000.0,247000.0,
Central America (FAO),,2020,31270000.0,2742000.0,
Central Asia (FAO),,2020,6328000.0,9838000.0,
China (FAO),,2020,45140000.0,6090000.0,
Costa Rica,CRI,2020,1608000.0,141000.0,
Cote d'Ivoire,CIV,2020,2667000.0,215000.0,
Croatia,HRV,2020,517000.0,2057000.0,
Cuba,CUB,2020,2245000.0,1000.0,
Cyprus,CYP,2020,545000.0,9000.0,
Czechia,CZE,2020,1011000.0,3977000.0,
Eastern Africa (FAO),,2020,14957000.0,1731000.0,
Egypt,EGY,2020,17443000.0,957000.0,
Estonia,EST,2020,156000.0,1210000.0,
Europe,,2020,119286000.0,242589000.0,
Fiji,FJI,2020,242000.0,64000.0,
Georgia,GEO,2020,709000.0,2000.0,
Greece,GRC,2020,1998000.0,728000.0,
Grenada,GRD,2020,18000.0,6000.0,
Guyana,GUY,2020,87000.0,875000.0,
Haiti,HTI,2020,1306000.0,2000.0,
Hungary,HUN,2020,689000.0,8520000.0,
India,IND,2020,456000.0,25792000.0,
Iran,IRN,2020,10005000.0,488000.0,
Iraq,IRQ,2020,5364000.0,14000.0,
Israel,ISR,2020,4253000.0,52000.0,
Japan,JPN,2020,24746000.0,325000.0,
Jordan,JOR,2020,2504000.0,91000.0,
Laos,LAO,2020,291000.0,390000.0,
Lower-middle-income countries,,2020,153531000.0,104839000.0,
Malawi,MWI,2020,170000.0,4000.0,
Mauritius,MUS,2020,363000.0,16000.0,
Montenegro,MNE,2020,145000.0,1000.0,
North America,,2020,54211000.0,130171000.0,
Oceania,,2020,3357000.0,16631000.0,
Pakistan,PAK,2020,2555000.0,6114000.0,
Panama,PAN,2020,946000.0,5000.0,
Paraguay,PRY,2020,94000.0,3610000.0,
Portugal,PRT,2020,4311000.0,644000.0,
Romania,ROU,2020,4047000.0,11472000.0,
Russia,RUS,2020,1251000.0,46192000.0,
Saint Lucia,LCA,2020,27000.0,2000.0,
Saint Vincent and the Grenadines,VCT,2020,40000.0,17000.0,
Slovenia,SVN,2020,1168000.0,1067000.0,
South America,,2020,38194000.0,97563000.0,
Southern Asia (FAO),,2020,28675000.0,32641000.0,
Sudan,SDN,2020,2718000.0,4000.0,
Syria,SYR,2020,917000.0,533000.0,
Tunisia,TUN,2020,4045000.0,122000.0,
Ukraine,UKR,2020,460000.0,52024000.0,
United States,USA,2020,11822000.0,91702000.0,
World,OWID_WRL,2020,551286000.0,579589000.0,
Zambia,ZMB,2020,115000.0,152000.0,
