Entity,Code,Year,Bananas | 00000486 || Yield | 005419 || tonnes per hectare
Indonesia,IDN,1961,6.3492
Indonesia,IDN,1970,8.8557
Indonesia,IDN,1980,12.526199
Indonesia,IDN,1990,18.2025
Indonesia,IDN,2000,50.952
Indonesia,IDN,2010,56.8256
Indonesia,IDN,2021,60.117397
South Africa,ZAF,1961,7.3848996
South Africa,ZAF,1970,10.476
South Africa,ZAF,1980,11.9944
South Africa,ZAF,1990,16.038399
South Africa,ZAF,2000,21.504099
South Africa,ZAF,2010,50.9321
South Africa,ZAF,2021,62.3962
Turkey,TUR,1961,7.4286
Turkey,TUR,1970,12.599999
Turkey,TUR,1980,18.75
Turkey,TUR,1990,26.2391
Turkey,TUR,2000,37.1014
Turkey,TUR,2010,47.4657
Turkey,TUR,2021,71.9075
