Entity,Code,Year,bottom_trawl
Bangladesh,BGD,1980,60332.309443774015
Bangladesh,BGD,1990,95771.703787584
Bangladesh,BGD,2000,102188.166692518
Bangladesh,BGD,2010,96753.07225
Bangladesh,BGD,2018,170277.88013858
Denmark,DNK,1950,63999.334470576
Denmark,DNK,1960,225604.74847051
Denmark,DNK,1970,702282.684456197
Denmark,DNK,1980,1157441.370541089
Denmark,DNK,1990,944300.630837485
Denmark,DNK,2000,807683.6451659361
Denmark,DNK,2010,404983.336136935
Denmark,DNK,2018,206494.860380506
France,FRA,1950,91934.7800928
France,FRA,1960,171245.938923
France,FRA,1970,172030.70115680003
France,FRA,1980,227398.97283859996
France,FRA,1990,272404.5125542001
France,FRA,2000,272049.0277748001
France,FRA,2010,141507.10353216
France,FRA,2018,112089.37618958602
Iraq,IRQ,1970,2.91
Iraq,IRQ,1980,4631.3499482
Iraq,IRQ,2000,2062.09
Iraq,IRQ,2010,717.38
Iraq,IRQ,2018,976.7315872
New Zealand,NZL,1960,4997.778646196
New Zealand,NZL,1970,17431.544660874002
New Zealand,NZL,1980,142340.5024773
New Zealand,NZL,1990,149434.860676236
New Zealand,NZL,2000,211562.294720558
New Zealand,NZL,2010,130816.332047222
New Zealand,NZL,2018,211548.497320388
Portugal,PRT,1950,687545.4219506839
Portugal,PRT,1960,980798.35008863
Portugal,PRT,1970,794329.2090100001
Portugal,PRT,1980,290747.31602224003
Portugal,PRT,1990,281051.00246008
Portugal,PRT,2000,144307.65185886002
Portugal,PRT,2010,77789.32815842901
Portugal,PRT,2018,104343.56643919
Uruguay,URY,1950,2021.351
Uruguay,URY,1960,8112.207399999999
Uruguay,URY,1970,8060.500702833999
Uruguay,URY,1980,113545.403997288
Uruguay,URY,1990,88985.50659
Uruguay,URY,2000,70450.68884999999
Uruguay,URY,2010,61427.65218299999
Uruguay,URY,2018,47385.04617978
