Entity,Code,Year,"Share of the population using at least basic sanitation services, improved sanitation facilities which are not shared"
Bermuda,BMU,2000,99.97914
Bermuda,BMU,2005,99.96873
Bermuda,BMU,2010,99.95831
Bermuda,BMU,2015,99.9479
Bermuda,BMU,2020,99.94165
Bermuda,BMU,2022,99.94165
Democratic Republic of Congo,COD,2000,23.74773
Democratic Republic of Congo,COD,2005,21.507948
Democratic Republic of Congo,COD,2010,19.498728
Democratic Republic of Congo,COD,2015,17.702282
Democratic Republic of Congo,COD,2020,16.115866
Democratic Republic of Congo,COD,2022,16.174473
Hong Kong,HKG,2000,96.72825
Hong Kong,HKG,2005,96.70189
Hong Kong,HKG,2010,96.63599
Hong Kong,HKG,2015,96.570076
Hong Kong,HKG,2020,96.50417
Hong Kong,HKG,2022,96.50417
Israel,ISR,2000,100.0
Israel,ISR,2005,100.0
Israel,ISR,2010,100.0
Israel,ISR,2015,99.96767
Israel,ISR,2020,99.93601
Israel,ISR,2022,99.92452
New Caledonia,NCL,2000,100.0
New Caledonia,NCL,2005,100.0
New Caledonia,NCL,2010,100.0
New Caledonia,NCL,2015,100.0
New Caledonia,NCL,2020,100.0
New Caledonia,NCL,2022,100.0
