Entity,Code,Year,Out-of-pocket expenditure (% of current health expenditure),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,79.298615,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,33.443756,11627.28,42705372.0,
Angola,AGO,2019,37.46487,6602.424,32353592.0,
Argentina,ARG,2019,27.658516,22071.748,44745516.0,
Armenia,ARM,2019,84.7943,14317.553,2820604.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,67.96252,14442.041,10232761.0,
Benin,BEN,2019,47.043568,3156.439,12290443.0,
Bolivia,BOL,2019,23.868755,8528.749,11777318.0,
Botswana,BWA,2019,3.1368885,15117.995,2499705.0,
Brazil,BRA,2019,24.879847,14685.128,211782880.0,
Brunei,BRN,2019,5.6801085,61424.363,438058.0,
Burundi,BDI,2019,24.676357,729.65845,11874838.0,
Cambodia,KHM,2019,64.39125,4464.2944,16207746.0,
Chad,TCD,2019,57.22344,1561.9967,16126868.0,
Chile,CHL,2019,32.800026,24816.611,19039484.0,
China,CHN,2019,35.23002,15977.764,1421864064.0,
Colombia,COL,2019,14.856961,14616.135,50187404.0,
Comoros,COM,2019,61.827965,3290.6506,790993.0,
Costa Rica,CRI,2019,22.324564,20818.062,5084527.0,
Croatia,HRV,2019,11.4647665,29352.79,4129749.0,
Egypt,EGY,2019,62.74811,11180.697,105618672.0,
Ethiopia,ETH,2019,37.87532,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,9.26108,45922.793,64399760.0,
Georgia,GEO,2019,46.767754,14989.258,3770814.0,
Guatemala,GTM,2019,55.989178,8671.703,17106338.0,
Guinea,GIN,2019,59.215427,2545.1401,12877537.0,
Haiti,HTI,2019,43.2953,3101.5942,11160441.0,
Honduras,HND,2019,52.609097,5613.6606,9958832.0,
India,IND,2019,54.781635,6608.624,1383112064.0,
Italy,ITA,2019,23.314804,42739.05,59727936.0,
Jamaica,JAM,2019,16.437607,10244.366,2813776.0,
Japan,JPN,2019,12.907357,41697.41,125791680.0,
Jordan,JOR,2019,30.289825,9551.165,10698682.0,
Kenya,KEN,2019,24.299763,4601.2114,50951452.0,
Kiribati,KIR,2019,0.1049399,1990.518,124252.0,
Kyrgyzstan,KGZ,2019,46.181427,5258.3667,6323643.0,
Laos,LAO,2019,41.832287,7840.0713,7212058.0,
Lebanon,LBN,2019,33.53594,17172.197,5781912.0,
Madagascar,MDG,2019,32.51625,1585.4717,27533134.0,
Malawi,MWI,2019,16.86488,1517.7031,18867340.0,
Maldives,MDV,2019,16.452257,20574.404,504518.0,
Malta,MLT,2019,34.648083,45433.918,503646.0,
Mexico,MEX,2019,42.122097,20064.5,125085312.0,
Mozambique,MOZ,2019,9.978228,1285.1848,30285602.0,
Myanmar,MMR,2019,75.95469,4829.5366,53040212.0,
Namibia,NAM,2019,8.235021,10009.578,2446648.0,
Nauru,NRU,2019,1.1492947,12000.611,12156.0,
Nepal,NPL,2019,57.91304,3922.0813,28832500.0,
Nicaragua,NIC,2019,34.411205,5348.9873,6663919.0,
Niger,NER,2019,46.09529,1217.446,23443400.0,
Nigeria,NGA,2019,70.524025,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,6.5561543,33814.113,4602769.0,
Panama,PAN,2019,27.57014,31543.605,4232538.0,
Philippines,PHL,2019,48.559486,8731.861,110380800.0,
Poland,POL,2019,20.444813,33159.75,38493600.0,
Russia,RUS,2019,36.573746,27254.574,145742288.0,
Rwanda,RWA,2019,11.67218,2191.4016,12835029.0,
Samoa,WSM,2019,10.138191,6346.1465,211915.0,
Sao Tome and Principe,STP,2019,17.65803,4013.722,214612.0,
Senegal,SEN,2019,50.990547,3430.484,16000783.0,
Singapore,SGP,2019,30.151129,98283.31,5866408.0,
Solomon Islands,SLB,2019,3.439707,2616.863,675000.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,30.24508,42758.59,51803832.0,
Sudan,SDN,2019,67.38342,4133.1304,43232092.0,
Switzerland,CHE,2019,25.293182,70857.086,8575593.0,
Tajikistan,TJK,2019,71.223,3575.2798,9337008.0,
Tanzania,TZA,2019,22.151283,2577.6658,59872584.0,
Thailand,THA,2019,8.669599,18003.672,71307768.0,
Togo,TGO,2019,66.20978,2080.5242,8243093.0,
Trinidad and Tobago,TTO,2019,46.91282,25306.617,1519960.0,
Tunisia,TUN,2019,37.93781,11100.82,12049319.0,
Turkey,TUR,2019,16.88982,28150.059,83481688.0,
Turkmenistan,TKM,2019,76.78823,14992.604,6158424.0,
Tuvalu,TUV,2019,0.32330775,4816.553,10983.0,
Ukraine,UKR,2019,51.118923,12804.955,44211100.0,
United Kingdom,GBR,2019,17.073608,47362.266,66778660.0,
United States,USA,2019,11.311578,62478.254,334319680.0,
Vietnam,VNM,2019,42.953186,10252.005,95776712.0,
Zambia,ZMB,2019,10.231602,3372.359,18380478.0,
