Entity,Code,Year,Plastic leakage to aquatic envrionment - Leakage_type: Accumulated stock in oceans,Plastic leakage to aquatic envrionment - Leakage_type: Accumulated stock in rivers and lakes
Americas (excl. USA),,2000,1104799.0,3986388.0
Americas (excl. USA),,2005,1640651.0,5589354.0
Americas (excl. USA),,2010,2369481.0,7583318.0
Americas (excl. USA),,2015,3308621.0,9900845.0
Americas (excl. USA),,2019,4212359.0,11886398.0
Asia (excl. China and India),,2000,1815446.0,5624027.0
Asia (excl. China and India),,2005,2795849.0,8181655.0
Asia (excl. China and India),,2010,4171954.0,11598776.0
Asia (excl. China and India),,2015,5992579.0,15957285.0
Asia (excl. China and India),,2019,7819759.0,20188924.0
China,CHN,2000,683704.0,6677970.0
China,CHN,2005,1191053.0,10840010.0
China,CHN,2010,1937053.0,16095289.0
China,CHN,2015,2937417.0,21990220.0
China,CHN,2019,3904145.0,26455940.0
Europe,,2000,2108221.0,9576340.0
Europe,,2005,2789810.0,11592241.0
Europe,,2010,3556755.0,13484804.0
Europe,,2015,4377486.0,15068161.0
Europe,,2019,5050790.0,16057598.0
Sub-Saharan Africa,,2000,582204.0,2416811.0
Sub-Saharan Africa,,2005,940111.0,3790983.0
Sub-Saharan Africa,,2010,1472440.0,5682580.0
Sub-Saharan Africa,,2015,2215206.0,8093290.5
Sub-Saharan Africa,,2019,2975932.0,10300060.0
United States,USA,2000,1479050.0,6753940.0
United States,USA,2005,1920488.0,8031259.5
United States,USA,2010,2409952.0,9229680.0
United States,USA,2015,2928552.0,10232940.0
United States,USA,2019,3351125.0,10853590.0
