Entity,Code,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air
Barbados,BRB,1990,100
Barbados,BRB,1995,100
Barbados,BRB,2000,100
Barbados,BRB,2005,100
Barbados,BRB,2010,100
Barbados,BRB,2015,100
Botswana,BWA,1990,400
Botswana,BWA,1995,500
Botswana,BWA,2000,600
Botswana,BWA,2005,700
Botswana,BWA,2010,600
Botswana,BWA,2015,700
Kazakhstan,KAZ,1990,9800
Kazakhstan,KAZ,1995,11500
Kazakhstan,KAZ,2000,10400
Kazakhstan,KAZ,2005,10500
Kazakhstan,KAZ,2010,9400
Kazakhstan,KAZ,2015,10100
Lithuania,LTU,1990,3800
Lithuania,LTU,1995,3800
Lithuania,LTU,2000,2900
Lithuania,LTU,2005,2900
Lithuania,LTU,2010,2800
Lithuania,LTU,2015,2700
Mauritius,MUS,1990,500
Mauritius,MUS,1995,500
Mauritius,MUS,2000,600
Mauritius,MUS,2005,500
Mauritius,MUS,2010,400
Mauritius,MUS,2015,400
