Entity,Code,Year,Share of global annual CO₂ emissions from flaring
Europe,,1950,0.0
Europe,,1960,0.0
Europe,,1970,1.1859566
Europe,,1980,9.627425
Europe,,1990,26.650272
Europe,,2000,16.148096
Europe,,2010,22.875809
Europe,,2022,21.248848
United Kingdom,GBR,1950,0.0
United Kingdom,GBR,1960,0.0
United Kingdom,GBR,1970,1.0645913
United Kingdom,GBR,1980,2.5368443
United Kingdom,GBR,1990,2.622493
United Kingdom,GBR,2000,1.8563721
United Kingdom,GBR,2010,1.3876514
United Kingdom,GBR,2022,0.8143754
United States,USA,1950,58.569725
United States,USA,1960,34.009266
United States,USA,1970,9.450722
United States,USA,1980,2.1142297
United States,USA,1990,17.905153
United States,USA,2000,11.206923
United States,USA,2010,12.713026
United States,USA,2022,15.924848
