Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years"
Australia,AUS,1975,11.2
Australia,AUS,1980,12.6
Australia,AUS,1985,14.1
Australia,AUS,1990,15.8
Australia,AUS,1995,18.0
Australia,AUS,2000,20.5
Australia,AUS,2005,23.0
Australia,AUS,2010,25.4
Australia,AUS,2016,28.4
Brazil,BRA,1975,7.3
Brazil,BRA,1980,9.0
Brazil,BRA,1985,11.0
Brazil,BRA,1990,13.1
Brazil,BRA,1995,15.3
Brazil,BRA,2000,17.8
Brazil,BRA,2005,20.1
Brazil,BRA,2010,22.5
Brazil,BRA,2016,25.4
China,CHN,1975,0.7
China,CHN,1980,1.0
China,CHN,1985,1.3
China,CHN,1990,1.7
China,CHN,1995,2.3
China,CHN,2000,2.9
China,CHN,2005,3.8
China,CHN,2010,5.0
China,CHN,2016,6.5
India,IND,1975,0.5
India,IND,1980,0.7
India,IND,1985,1.0
India,IND,1990,1.3
India,IND,1995,1.8
India,IND,2000,2.3
India,IND,2005,3.0
India,IND,2010,3.8
India,IND,2016,5.1
United Kingdom,GBR,1975,10.8
United Kingdom,GBR,1980,12.2
United Kingdom,GBR,1985,13.8
United Kingdom,GBR,1990,15.6
United Kingdom,GBR,1995,17.7
United Kingdom,GBR,2000,20.1
United Kingdom,GBR,2005,22.7
United Kingdom,GBR,2010,25.4
United Kingdom,GBR,2016,28.6
United States,USA,1975,13.3
United States,USA,1980,15.2
United States,USA,1985,17.4
United States,USA,1990,20.2
United States,USA,1995,23.4
United States,USA,2000,26.9
United States,USA,2005,30.2
United States,USA,2010,33.3
United States,USA,2016,37.0
