Entity,Code,Year,"Current number of cases of parkinson's disease per 100,000 people, in both sexes aged age-standardized"
Botswana,BWA,1990,54.371437
Botswana,BWA,1995,55.120277
Botswana,BWA,2000,58.9668
Botswana,BWA,2005,58.365005
Botswana,BWA,2010,63.370968
Botswana,BWA,2015,64.77865
Botswana,BWA,2019,70.48536
Lebanon,LBN,1990,71.022484
Lebanon,LBN,1995,70.55454
Lebanon,LBN,2000,70.88626
Lebanon,LBN,2005,74.33696
Lebanon,LBN,2010,75.55235
Lebanon,LBN,2015,76.30495
Lebanon,LBN,2019,77.617065
Niue,NIU,1990,142.50046
Niue,NIU,1995,139.16557
Niue,NIU,2000,145.7833
Niue,NIU,2005,147.08864
Niue,NIU,2010,150.95732
Niue,NIU,2015,148.51706
Niue,NIU,2019,147.61615
Saint Lucia,LCA,1990,89.19355
Saint Lucia,LCA,1995,98.00356
Saint Lucia,LCA,2000,95.13009
Saint Lucia,LCA,2005,101.47335
Saint Lucia,LCA,2010,103.06604
Saint Lucia,LCA,2015,96.00703
Saint Lucia,LCA,2019,100.79651
