Entity,Code,Year,"Prevalence of overweight among adults, BMI >= 25 (age-standardized estimate) (%) - Sex: both sexes - Age group: 18+  years"
Brazil,BRA,1975,27.5
Brazil,BRA,1980,31.1
Brazil,BRA,1985,34.8
Brazil,BRA,1990,38.5
Brazil,BRA,1995,42.2
Brazil,BRA,2000,46.0
Brazil,BRA,2005,49.5
Brazil,BRA,2010,52.7
Brazil,BRA,2016,56.5
India,IND,1975,5.3
India,IND,1980,6.3
India,IND,1985,7.5
India,IND,1990,8.9
India,IND,1995,10.4
India,IND,2000,12.1
India,IND,2005,14.2
India,IND,2010,16.5
India,IND,2016,19.7
Japan,JPN,1975,14.9
Japan,JPN,1980,16.2
Japan,JPN,1985,17.3
Japan,JPN,1990,18.4
Japan,JPN,1995,19.5
Japan,JPN,2000,20.7
Japan,JPN,2005,22.6
Japan,JPN,2010,24.9
Japan,JPN,2016,27.2
Nigeria,NGA,1975,8.9
Nigeria,NGA,1980,10.3
Nigeria,NGA,1985,12.1
Nigeria,NGA,1990,14.3
Nigeria,NGA,1995,16.6
Nigeria,NGA,2000,19.1
Nigeria,NGA,2005,21.8
Nigeria,NGA,2010,24.9
Nigeria,NGA,2016,28.9
United Kingdom,GBR,1975,40.1
United Kingdom,GBR,1980,42.9
United Kingdom,GBR,1985,45.8
United Kingdom,GBR,1990,48.7
United Kingdom,GBR,1995,51.7
United Kingdom,GBR,2000,54.8
United Kingdom,GBR,2005,57.8
United Kingdom,GBR,2010,60.6
United Kingdom,GBR,2016,63.7
United States,USA,1975,41.0
United States,USA,1980,44.0
United States,USA,1985,47.4
United States,USA,1990,50.9
United States,USA,1995,54.8
United States,USA,2000,58.6
United States,USA,2005,61.9
United States,USA,2010,64.8
United States,USA,2016,67.9
Vietnam,VNM,1975,5.0
Vietnam,VNM,1980,5.7
Vietnam,VNM,1985,6.4
Vietnam,VNM,1990,7.3
Vietnam,VNM,1995,8.6
Vietnam,VNM,2000,10.1
Vietnam,VNM,2005,12.2
Vietnam,VNM,2010,14.7
Vietnam,VNM,2016,18.3
