Entity,Code,Year,Population of rural area (DEGURBA Level 1),Population of towns and suburbs (DEGURBA Level 1),Population of cities (DEGURBA Level 1)
Akrotiri and Dhekelia,OWID_AKD,1975,15208.225,0.0,0.0
Akrotiri and Dhekelia,OWID_AKD,1990,16739.5,0.0,0.0
Akrotiri and Dhekelia,OWID_AKD,2000,20036.004,0.0,0.0
Akrotiri and Dhekelia,OWID_AKD,2010,22795.146,0.0,0.0
Akrotiri and Dhekelia,OWID_AKD,2020,17182.223,5934.448,0.0
Central African Republic,CAF,1975,1471027.2,389458.4,424340.22
Central African Republic,CAF,1990,1851417.6,335880.28,622975.44
Central African Republic,CAF,2000,2119165.8,848849.56,790666.06
Central African Republic,CAF,2010,2631728.5,1027036.7,1000943.7
Central African Republic,CAF,2020,2735910.0,1404888.6,1202219.2
Dominica,DMA,1975,36520.684,34431.867,0.0
Dominica,DMA,1990,42996.15,25823.664,0.0
Dominica,DMA,2000,40420.176,27292.373,0.0
Dominica,DMA,2010,38638.99,29454.96,0.0
Dominica,DMA,2020,31249.78,39917.41,0.0
Nicaragua,NIC,1975,826207.3,1009712.7,1020181.0
Nicaragua,NIC,1990,1188789.4,1470335.4,1565960.2
Nicaragua,NIC,2000,1413919.5,1540255.9,2165403.0
Nicaragua,NIC,2010,1659992.8,1723550.5,2467441.5
Nicaragua,NIC,2020,2197565.5,2008846.6,2542614.8
United Kingdom,GBR,1975,7272989.0,17293038.0,31680174.0
United Kingdom,GBR,1990,7450837.0,17565992.0,32170246.0
United Kingdom,GBR,2000,7594954.5,17609724.0,33620930.0
United Kingdom,GBR,2010,7799496.0,18079024.0,36855224.0
United Kingdom,GBR,2020,7988917.5,18557922.0,40484550.0
Venezuela,VEN,1975,1446170.0,4520819.0,7196674.5
Venezuela,VEN,1990,1990774.1,5475836.0,12263612.0
Venezuela,VEN,2000,1144448.0,6190497.5,17063836.0
Venezuela,VEN,2010,1172146.5,6815290.5,20693508.0
Venezuela,VEN,2020,1099605.5,7235922.5,20119488.0
