Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: Under 5 (Number)
African Region (WHO),,1990,26993
African Region (WHO),,1995,26439
African Region (WHO),,2000,25989
African Region (WHO),,2005,17915
African Region (WHO),,2010,12832
African Region (WHO),,2015,10562
African Region (WHO),,2019,7705
Eastern Mediterranean Region (WHO),,1990,24996
Eastern Mediterranean Region (WHO),,1995,21840
Eastern Mediterranean Region (WHO),,2000,14969
Eastern Mediterranean Region (WHO),,2005,10653
Eastern Mediterranean Region (WHO),,2010,7989
Eastern Mediterranean Region (WHO),,2015,5924
Eastern Mediterranean Region (WHO),,2019,4414
European Region (WHO),,1990,241
European Region (WHO),,1995,156
European Region (WHO),,2000,69
European Region (WHO),,2005,14
European Region (WHO),,2010,6
European Region (WHO),,2015,4
European Region (WHO),,2019,3
Region of the Americas (WHO),,1990,1707
Region of the Americas (WHO),,1995,859
Region of the Americas (WHO),,2000,508
Region of the Americas (WHO),,2005,355
Region of the Americas (WHO),,2010,248
Region of the Americas (WHO),,2015,179
Region of the Americas (WHO),,2019,145
South-East Asia Region (WHO),,1990,141688
South-East Asia Region (WHO),,1995,86453
South-East Asia Region (WHO),,2000,62472
South-East Asia Region (WHO),,2005,37775
South-East Asia Region (WHO),,2010,17017
South-East Asia Region (WHO),,2015,8842
South-East Asia Region (WHO),,2019,5770
Western Pacific Region (WHO),,1990,18856
Western Pacific Region (WHO),,1995,9388
Western Pacific Region (WHO),,2000,3850
Western Pacific Region (WHO),,2005,1628
Western Pacific Region (WHO),,2010,619
Western Pacific Region (WHO),,2015,437
Western Pacific Region (WHO),,2019,246
