Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sanitation, in both sexes aged all ages"
Burkina Faso,BFA,1990,15779.997
Burkina Faso,BFA,1995,15044.887
Burkina Faso,BFA,2000,13633.157
Burkina Faso,BFA,2005,11749.53
Burkina Faso,BFA,2010,10034.448
Burkina Faso,BFA,2015,9551.268
Burkina Faso,BFA,2019,9803.027
Comoros,COM,1990,380.21326
Comoros,COM,1995,393.56293
Comoros,COM,2000,442.42416
Comoros,COM,2005,291.69098
Comoros,COM,2010,209.84534
Comoros,COM,2015,204.31917
Comoros,COM,2019,172.2289
G20,,1990,892544.1
G20,,1995,782423.94
G20,,2000,693890.06
G20,,2005,577325.44
G20,,2010,511972.56
G20,,2015,403824.72
G20,,2019,319676.72
Mali,MLI,1990,15429.624
Mali,MLI,1995,15492.7295
Mali,MLI,2000,14995.87
Mali,MLI,2005,12625.364
Mali,MLI,2010,9985.423
Mali,MLI,2015,8438.907
Mali,MLI,2019,8818.956
Mexico,MEX,1990,9755.588
Mexico,MEX,1995,5729.706
Mexico,MEX,2000,2758.6125
Mexico,MEX,2005,1385.9274
Mexico,MEX,2010,1079.2147
Mexico,MEX,2015,1053.0994
Mexico,MEX,2019,953.45886
Niger,NER,1990,24220.09
Niger,NER,1995,25861.46
Niger,NER,2000,25406.787
Niger,NER,2005,25065.43
Niger,NER,2010,18718.354
Niger,NER,2015,19381.553
Niger,NER,2019,19007.738
Saudi Arabia,SAU,1990,1420.6425
Saudi Arabia,SAU,1995,619.3377
Saudi Arabia,SAU,2000,229.24516
Saudi Arabia,SAU,2005,100.48397
Saudi Arabia,SAU,2010,47.080776
Saudi Arabia,SAU,2015,26.949627
Saudi Arabia,SAU,2019,20.473976
