Entity,Code,Year,Annual CO₂ emissions growth (%)
China,CHN,1950,26.987576
China,CHN,2000,2.5841713
China,CHN,2022,0.53406954
United Kingdom,GBR,1751,1.0884643
United Kingdom,GBR,1800,16.701103
United Kingdom,GBR,1850,4.2607784
United Kingdom,GBR,1900,1.2515187
United Kingdom,GBR,1950,3.2329679
United Kingdom,GBR,2000,1.3147116
United Kingdom,GBR,2022,-8.291679
United States,USA,1850,8.62658
United States,USA,1900,5.9476256
United States,USA,1950,17.397095
United States,USA,2000,3.5530806
United States,USA,2022,0.49860477
World,OWID_WRL,1751,1.0884643
World,OWID_WRL,1800,19.33093
World,OWID_WRL,1850,6.3915253
World,OWID_WRL,1900,5.3136945
World,OWID_WRL,1950,14.443838
World,OWID_WRL,2000,2.6890755
World,OWID_WRL,2022,0.9051442
