Entity,Code,Year,Deaths - Cause: Diabetes mellitus - Sex: Both sexes - Age group: ALLAges
Brazil,BRA,2000,35391.56
Brazil,BRA,2005,38429.82
Brazil,BRA,2010,50319.09
Brazil,BRA,2015,53461.96
Brazil,BRA,2019,59607.77
China,CHN,2000,97672.17
China,CHN,2005,125056.8
China,CHN,2010,125273.2
China,CHN,2015,139325.4
China,CHN,2019,161672.3
Russia,RUS,2000,10560.46
Russia,RUS,2005,10105.3
Russia,RUS,2010,10703.15
Russia,RUS,2015,18745.79
Russia,RUS,2019,18344.63
United States,USA,2000,57789.57
United States,USA,2005,60071.89
United States,USA,2010,51369.82
United States,USA,2015,54927.66
United States,USA,2019,61418.24
